Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:24:06.461313,22:24:07.379520,-1,-1.0
1,22:24:06.461313,22:24:08.018196,1,-1.0
1,22:24:06.461313,22:24:10.238246,1,-1.0
1,22:24:06.461313,22:24:10.589624,1,-1.0
1,22:24:06.461313,22:24:10.876209,1,-1.0
1,22:24:06.461313,22:24:11.167966,1,-1.0
1,22:24:06.461313,22:24:11.480746,1,-1.0
1,22:24:06.461313,22:24:11.816157,1,-1.0
1,22:24:06.461313,22:24:12.137833,1,-1.0
1,22:24:06.461313,22:24:12.562669,1,-1.0
1,22:24:06.461313,22:24:12.914029,1,-1.0
1,22:24:06.461313,22:24:13.252697,1,-1.0
1,22:24:06.461313,22:24:13.562419,1,-1.0
1,22:24:06.461313,22:24:13.884035,1,-1.0
1,22:24:06.461313,22:24:14.162560,1,-1.0
1,22:24:06.461313,22:24:14.426201,1,-1.0
1,22:24:06.461313,22:24:14.730550,1,-1.0
1,22:24:06.461313,22:24:15.160790,1,-1.0
1,22:24:06.461313,22:24:16.678822,1,-1.0
1,22:24:06.461313,22:24:17.359532,1,-1.0
1,22:24:06.461313,22:24:17.642433,1,-1.0
1,22:24:06.461313,22:24:18.688195,-1,-1.0
1,22:24:06.461313,22:24:19.153072,-1,-1.0
1,22:24:06.461313,22:24:19.493083,-1,-1.0
1,22:24:06.461313,22:24:19.848757,-1,-1.0
1,22:24:06.461313,22:24:20.255044,-1,-1.0
1,22:24:06.461313,22:24:20.518784,-1,-1.0
1,22:24:06.461313,22:24:20.903106,-1,-1.0
1,22:24:06.461313,22:24:21.165312,-1,-1.0
1,22:24:06.461313,22:24:21.431388,-1,-1.0
1,22:24:06.461313,22:24:21.740128,-1,-1.0
1,22:24:06.461313,22:24:22.106372,-1,-1.0
1,22:24:06.461313,22:24:22.400390,-1,-1.0
1,22:24:06.461313,22:24:22.685328,-1,-1.0
1,22:24:06.461313,22:24:23.004033,-1,-1.0
1,22:24:06.461313,22:24:24.577166,-1,-1.0
1,22:24:06.461313,22:24:24.871333,-1,-1.0
1,22:24:06.461313,22:24:25.130781,-1,-1.0
1,22:24:06.461313,22:24:25.360541,-1,-1.0
1,22:24:06.461313,22:24:25.618085,-1,-1.0
1,22:24:06.461313,22:24:25.950153,-1,-1.0
1,22:24:06.461313,22:24:26.253810,-1,-1.0
1,22:24:06.461313,22:24:26.696369,-1,-1.0
1,22:24:06.461313,22:24:27.139341,-1,-1.0
1,22:24:06.461313,22:24:27.897395,-1,-1.0
1,22:24:06.461313,22:24:29.653953,-1,-1.0
1,22:24:06.461313,22:24:31.198346,1,-1.0
1,22:24:06.461313,22:24:31.993169,1,-1.0
1,22:24:06.461313,22:24:32.323692,1,-1.0
1,22:24:06.461313,22:24:32.617877,1,-1.0
1,22:24:06.461313,22:24:32.902128,1,-1.0
1,22:24:06.461313,22:24:33.234577,1,-1.0
1,22:24:06.461313,22:24:33.531125,1,-1.0
1,22:24:06.461313,22:24:33.829348,1,-1.0
1,22:24:06.461313,22:24:34.176165,1,-1.0
1,22:24:06.461313,22:24:34.472293,1,-1.0
1,22:24:06.461313,22:24:34.760213,1,-1.0
1,22:24:06.461313,22:24:35.121150,1,-1.0
1,22:24:06.461313,22:24:35.483713,1,-1.0
1,22:24:06.461313,22:24:35.819875,1,-1.0
1,22:24:06.461313,22:24:36.262514,1,-1.0
1,22:24:06.461313,22:24:38.045409,-1,-1.0
1,22:24:06.461313,22:24:49.853518,-1,-1.0
1,22:24:06.461313,22:24:50.291258,-1,-1.0
1,22:24:06.461313,22:24:50.908873,1,-1.0
1,22:24:06.461313,22:24:51.260208,1,-1.0
1,22:24:06.461313,22:24:51.508681,1,-1.0
1,22:24:06.461313,22:24:51.743260,1,-1.0
1,22:24:06.461313,22:24:51.939480,1,-1.0
1,22:24:06.461313,22:24:52.180047,1,-1.0
1,22:24:06.461313,22:24:52.857160,1,-1.0
1,22:24:06.461313,22:24:53.088960,1,-1.0
1,22:24:06.461313,22:24:53.357335,1,-1.0
1,22:24:06.461313,22:24:53.681407,1,-1.0
1,22:24:06.461313,22:24:54.101859,1,-1.0
1,22:24:06.461313,22:24:54.364249,1,-1.0
1,22:24:06.461313,22:24:54.609868,1,-1.0
1,22:24:06.461313,22:24:54.940164,1,-1.0
1,22:24:06.461313,22:24:55.186066,1,-1.0
1,22:24:06.461313,22:24:55.484749,1,-1.0
1,22:24:06.461313,22:24:55.783303,1,-1.0
1,22:24:06.461313,22:24:56.096218,1,-1.0
1,22:24:06.461313,22:24:56.381985,1,-1.0
1,22:24:06.461313,22:24:56.684283,1,-1.0
1,22:24:06.461313,22:24:57.033672,1,-1.0
1,22:24:06.461313,22:24:57.457492,1,-1.0
1,22:24:06.461313,22:24:57.648776,1,-1.0
1,22:24:06.461313,22:24:57.842392,1,-1.0
1,22:24:06.461313,22:24:58.002075,1,-1.0
1,22:24:06.461313,22:24:58.174876,1,-1.0
1,22:24:06.461313,22:24:58.351614,1,-1.0
1,22:24:06.461313,22:24:58.529310,1,-1.0
1,22:24:06.461313,22:24:58.707543,1,-1.0
1,22:24:06.461313,22:24:59.604008,-1,-1.0
1,22:24:06.461313,22:25:00.026458,-1,-1.0
1,22:24:06.461313,22:25:00.328916,-1,-1.0
1,22:24:06.461313,22:25:00.584472,-1,-1.0
1,22:24:06.461313,22:25:00.829699,-1,-1.0
1,22:24:06.461313,22:25:01.077305,-1,-1.0
1,22:24:06.461313,22:25:01.307748,-1,-1.0
1,22:24:06.461313,22:25:01.549114,-1,-1.0
1,22:24:06.461313,22:25:01.782285,-1,-1.0
1,22:24:06.461313,22:25:02.063038,-1,-1.0
1,22:24:06.461313,22:25:02.358451,-1,-1.0
1,22:24:06.461313,22:25:02.682418,-1,-1.0
1,22:24:06.461313,22:25:02.972918,-1,-1.0
1,22:24:06.461313,22:25:03.242032,-1,-1.0
1,22:24:06.461313,22:25:03.555494,-1,-1.0
1,22:24:06.461313,22:25:03.849875,-1,-1.0
1,22:24:06.461313,22:25:04.121136,-1,-1.0
1,22:24:06.461313,22:25:04.372107,-1,-1.0
1,22:24:06.461313,22:25:04.654518,-1,-1.0
1,22:24:06.461313,22:25:04.906110,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:25:04.946100,22:25:05.449651,-1,-1.0
2,22:25:04.946100,22:25:05.947488,-1,-1.0
2,22:25:04.946100,22:25:06.900110,1,-1.0
2,22:25:04.946100,22:25:07.327023,1,-1.0
2,22:25:04.946100,22:25:08.074946,1,-1.0
2,22:25:04.946100,22:25:08.382543,1,-1.0
2,22:25:04.946100,22:25:08.619974,1,-1.0
2,22:25:04.946100,22:25:08.838756,1,-1.0
2,22:25:04.946100,22:25:09.053065,1,-1.0
2,22:25:04.946100,22:25:09.257410,1,-1.0
2,22:25:04.946100,22:25:09.459486,1,-1.0
2,22:25:04.946100,22:25:09.650856,1,-1.0
2,22:25:04.946100,22:25:09.843606,1,-1.0
2,22:25:04.946100,22:25:10.042684,1,-1.0
2,22:25:04.946100,22:25:10.232776,1,-1.0
2,22:25:04.946100,22:25:10.433776,1,-1.0
2,22:25:04.946100,22:25:10.614782,1,-1.0
2,22:25:04.946100,22:25:10.822943,1,-1.0
2,22:25:04.946100,22:25:11.023795,1,-1.0
2,22:25:04.946100,22:25:11.227168,1,-1.0
2,22:25:04.946100,22:25:11.433454,1,-1.0
