Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:27:06.598608,22:27:10.152508,1,-1.0
1,22:27:06.598608,22:27:10.652919,1,-1.0
1,22:27:06.598608,22:27:10.947931,1,-1.0
1,22:27:06.598608,22:27:11.180661,1,-1.0
1,22:27:06.598608,22:27:11.383942,1,-1.0
1,22:27:06.598608,22:27:11.600871,1,-1.0
1,22:27:06.598608,22:27:11.801431,1,-1.0
1,22:27:06.598608,22:27:12.003723,1,-1.0
1,22:27:06.598608,22:27:12.195679,1,-1.0
1,22:27:06.598608,22:27:12.386280,1,-1.0
1,22:27:06.598608,22:27:12.583692,1,-1.0
1,22:27:06.598608,22:27:12.772446,1,-1.0
1,22:27:06.598608,22:27:12.962243,1,-1.0
1,22:27:06.598608,22:27:13.171574,1,-1.0
1,22:27:06.598608,22:27:13.390256,1,-1.0
1,22:27:06.598608,22:27:13.624984,1,-1.0
1,22:27:06.598608,22:27:14.221885,1,-1.0
1,22:27:06.598608,22:27:14.962110,1,-1.0
1,22:27:06.598608,22:27:15.224030,1,-1.0
1,22:27:06.598608,22:27:15.440739,1,-1.0
1,22:27:06.598608,22:27:15.641361,1,-1.0
1,22:27:06.598608,22:27:15.852910,1,-1.0
1,22:27:06.598608,22:27:17.759097,-1,-1.0
1,22:27:06.598608,22:27:18.802961,1,-1.0
1,22:27:06.598608,22:27:19.446058,1,-1.0
1,22:27:06.598608,22:27:19.726308,1,-1.0
1,22:27:06.598608,22:27:20.046379,1,-1.0
1,22:27:06.598608,22:27:20.405304,1,-1.0
1,22:27:06.598608,22:27:27.489979,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:28:06.495313,22:28:28.627156,1,-1.0
2,22:28:06.495313,22:28:28.803959,1,-1.0
2,22:28:06.495313,22:28:28.973232,1,-1.0
2,22:28:06.495313,22:28:39.789065,-1,-1.0
