Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:13:32.371562,12:13:33.126269,1,-1.0
1,12:13:32.371562,12:13:34.611447,1,-1.0
1,12:13:32.371562,12:13:36.413398,1,-1.0
1,12:13:32.371562,12:13:36.805452,1,-1.0
1,12:13:32.371562,12:13:37.044123,1,-1.0
1,12:13:32.371562,12:13:37.295220,1,-1.0
1,12:13:32.371562,12:13:37.541151,1,-1.0
1,12:13:32.371562,12:13:38.395216,1,-1.0
1,12:13:32.371562,12:13:38.884815,1,-1.0
1,12:13:32.371562,12:13:39.172557,1,-1.0
1,12:13:32.371562,12:13:39.394432,1,-1.0
1,12:13:32.371562,12:13:39.613487,1,-1.0
1,12:13:32.371562,12:13:40.735677,1,-1.0
1,12:13:32.371562,12:13:41.306023,-1,-1.0
1,12:13:32.371562,12:13:41.735491,-1,-1.0
1,12:13:32.371562,12:13:42.201629,-1,-1.0
1,12:13:32.371562,12:13:42.712191,-1,-1.0
1,12:13:32.371562,12:13:43.151421,-1,-1.0
1,12:13:32.371562,12:13:43.577955,-1,-1.0
1,12:13:32.371562,12:13:44.138876,-1,-1.0
1,12:13:32.371562,12:13:44.609309,-1,-1.0
1,12:13:32.371562,12:13:44.983290,-1,-1.0
1,12:13:32.371562,12:13:45.624599,1,-1.0
1,12:13:32.371562,12:13:46.173689,1,-1.0
1,12:13:32.371562,12:13:46.872699,1,-1.0
1,12:13:32.371562,12:13:47.348652,1,-1.0
1,12:13:32.371562,12:13:48.683900,1,-1.0
1,12:13:32.371562,12:13:49.566727,1,-1.0
1,12:13:32.371562,12:13:50.501103,1,-1.0
1,12:13:32.371562,12:13:50.909343,1,-1.0
1,12:13:32.371562,12:13:51.161119,1,-1.0
1,12:13:32.371562,12:13:51.378907,1,-1.0
1,12:13:32.371562,12:13:51.599920,1,-1.0
1,12:13:32.371562,12:13:52.244934,-1,-1.0
1,12:13:32.371562,12:13:52.722459,-1,-1.0
1,12:13:32.371562,12:13:53.414135,-1,-1.0
1,12:13:32.371562,12:13:53.849519,-1,-1.0
1,12:13:32.371562,12:13:54.352037,-1,-1.0
1,12:13:32.371562,12:13:55.138991,1,-1.0
1,12:13:32.371562,12:13:57.437722,1,-1.0
1,12:13:32.371562,12:13:59.568266,1,-1.0
1,12:13:32.371562,12:14:00.259654,-1,-1.0
1,12:13:32.371562,12:14:00.943019,-1,-1.0
1,12:13:32.371562,12:14:01.427342,1,-1.0
1,12:13:32.371562,12:14:02.215266,1,-1.0
1,12:13:32.371562,12:14:02.794622,1,-1.0
1,12:13:32.371562,12:14:06.408092,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:14:09.301695,12:14:10.061264,-1,-1.0
2,12:14:09.301695,12:14:10.584618,-1,-1.0
2,12:14:09.301695,12:14:10.931107,-1,-1.0
2,12:14:09.301695,12:14:11.467822,1,-1.0
2,12:14:09.301695,12:14:12.427184,1,-1.0
2,12:14:09.301695,12:14:13.177694,1,-1.0
2,12:14:09.301695,12:14:13.989537,1,-1.0
2,12:14:09.301695,12:14:14.420009,1,-1.0
2,12:14:09.301695,12:14:14.776174,1,-1.0
2,12:14:09.301695,12:14:15.860343,1,-1.0
2,12:14:09.301695,12:14:16.853164,1,-1.0
2,12:14:09.301695,12:14:17.737468,1,-1.0
2,12:14:09.301695,12:14:18.660691,1,-1.0
2,12:14:09.301695,12:14:19.525191,-1,-1.0
2,12:14:09.301695,12:14:20.102434,-1,-1.0
2,12:14:09.301695,12:14:20.591373,-1,-1.0
2,12:14:09.301695,12:14:21.181444,-1,-1.0
2,12:14:09.301695,12:14:21.802546,1,-1.0
2,12:14:09.301695,12:14:22.712596,1,-1.0
2,12:14:09.301695,12:14:23.440167,1,-1.0
2,12:14:09.301695,12:14:25.343120,1,-1.0
2,12:14:09.301695,12:14:27.459491,1,-1.0
2,12:14:09.301695,12:14:30.204813,1,-1.0
2,12:14:09.301695,12:14:30.555005,1,-1.0
2,12:14:09.301695,12:14:30.827810,1,-1.0
2,12:14:09.301695,12:14:31.025801,-1,-1.0
2,12:14:09.301695,12:14:31.259683,-1,-1.0
2,12:14:09.301695,12:14:31.446206,-1,-1.0
2,12:14:09.301695,12:14:31.625259,-1,-1.0
2,12:14:09.301695,12:14:31.813476,-1,-1.0
2,12:14:09.301695,12:14:32.052694,1,-1.0
2,12:14:09.301695,12:14:32.324569,1,-1.0
2,12:14:09.301695,12:14:32.544458,-1,-1.0
2,12:14:09.301695,12:14:32.853890,-1,-1.0
2,12:14:09.301695,12:14:33.571560,-1,-1.0
2,12:14:09.301695,12:14:34.093680,-1,-1.0
2,12:14:09.301695,12:14:34.590179,1,-1.0
2,12:14:09.301695,12:14:36.219391,-1,-1.0
2,12:14:09.301695,12:14:36.964023,1,-1.0
2,12:14:09.301695,12:14:38.375085,1,-1.0
2,12:14:09.301695,12:14:38.934398,-1,-1.0
2,12:14:09.301695,12:14:39.310056,-1,-1.0
2,12:14:09.301695,12:14:40.061141,1,-1.0
2,12:14:09.301695,12:14:40.363764,1,-1.0
2,12:14:09.301695,12:14:40.932521,1,-1.0
2,12:14:09.301695,12:14:41.482392,1,-1.0
2,12:14:09.301695,12:14:42.392315,1,-1.0
2,12:14:09.301695,12:14:44.573376,1,-1.0
