Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:30:21.185358,09:30:28.820788,1,-1.0
1,09:30:21.185358,09:30:41.567643,-1,-1.0
1,09:30:21.185358,09:30:42.685500,-1,-1.0
1,09:30:21.185358,09:30:44.523225,-1,-1.0
1,09:30:21.185358,09:30:44.946240,-1,-1.0
1,09:30:21.185358,09:30:45.221169,-1,-1.0
1,09:30:21.185358,09:30:52.070741,1,-1.0
1,09:30:21.185358,09:31:06.270621,-1,-1.0
1,09:30:21.185358,09:31:09.483650,-1,-1.0
1,09:30:21.185358,09:31:12.505726,-1,-1.0
1,09:30:21.185358,09:31:14.028971,-1,-1.0
1,09:30:21.185358,09:31:16.796098,-1,-1.0
1,09:30:21.185358,09:31:17.901960,-1,-1.0
1,09:30:21.185358,09:31:18.716663,-1,-1.0
1,09:30:21.185358,09:31:20.522880,-1,-1.0
1,09:30:21.185358,09:31:21.176128,-1,-1.0
1,09:30:21.185358,09:31:21.442201,-1,-1.0
1,09:30:21.185358,09:31:21.663475,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:31:21.666527,09:31:32.561003,1,-1.0
2,09:31:21.666527,09:31:33.809747,-1,-1.0
2,09:31:21.666527,09:31:34.760502,-1,-1.0
2,09:31:21.666527,09:31:34.965851,-1,-1.0
2,09:31:21.666527,09:31:35.147736,-1,-1.0
2,09:31:21.666527,09:31:35.623164,-1,-1.0
2,09:31:21.666527,09:31:38.712820,1,-1.0
2,09:31:21.666527,09:31:45.140157,1,-1.0
2,09:31:21.666527,09:31:46.214190,1,-1.0
2,09:31:21.666527,09:31:58.519756,1,-1.0
2,09:31:21.666527,09:32:03.102848,1,-1.0
2,09:31:21.666527,09:32:22.460476,1,-1.0
