Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:03:06.880190,19:03:08.586745,3,-1.0
1,19:03:06.880190,19:03:11.070198,-1,-1.0
1,19:03:06.880190,19:03:14.447831,1,-1.0
1,19:03:06.880190,19:03:20.222070,2,-1.0
1,19:03:06.880190,19:03:22.798160,2,-1.0
1,19:03:06.880190,19:03:25.623751,1,-1.0
1,19:03:06.880190,19:03:28.313067,1,-1.0
1,19:03:06.880190,19:03:31.403543,1,-1.0
1,19:03:06.880190,19:03:36.011089,3,-1.0
1,19:03:06.880190,19:03:36.567681,3,-1.0
1,19:03:06.880190,19:03:39.545826,1,-1.0
1,19:03:06.880190,19:03:42.068315,-1,-1.0
1,19:03:06.880190,19:03:43.395479,2,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:03:49.199971,19:03:51.446241,2,-1.0
2,19:03:49.199971,19:03:58.988019,1,-1.0
2,19:03:49.199971,19:04:00.119090,1,-1.0
2,19:03:49.199971,19:04:01.463656,1,-1.0
2,19:03:49.199971,19:04:03.891576,1,-1.0
2,19:03:49.199971,19:04:06.652861,1,-1.0
2,19:03:49.199971,19:04:06.944096,1,-1.0
2,19:03:49.199971,19:04:07.469225,1,-1.0
2,19:03:49.199971,19:04:10.081852,1,-1.0
2,19:03:49.199971,19:04:13.398500,1,-1.0
2,19:03:49.199971,19:04:13.837948,1,-1.0
2,19:03:49.199971,19:04:14.289054,1,-1.0
2,19:03:49.199971,19:04:14.912349,1,-1.0
2,19:03:49.199971,19:04:15.617371,2,-1.0
2,19:03:49.199971,19:04:17.260193,2,-1.0
2,19:03:49.199971,19:04:19.893832,-1,-1.0
2,19:03:49.199971,19:04:20.637586,3,-1.0
2,19:03:49.199971,19:04:22.150104,3,-1.0
2,19:03:49.199971,19:04:26.618615,3,-1.0
2,19:03:49.199971,19:04:27.107790,3,-1.0
2,19:03:49.199971,19:04:29.552187,1,-1.0
2,19:03:49.199971,19:04:29.906712,1,-1.0
2,19:03:49.199971,19:04:30.161883,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,19:04:31.311343,19:04:32.419182,3,-1.0
3,19:04:31.311343,19:04:33.854849,2,-1.0
3,19:04:31.311343,19:04:35.054378,-1,-1.0
3,19:04:31.311343,19:04:35.623553,-1,-1.0
3,19:04:31.311343,19:04:35.914580,-1,-1.0
3,19:04:31.311343,19:04:36.349359,2,-1.0
3,19:04:31.311343,19:04:43.642463,1,-1.0
3,19:04:31.311343,19:04:46.694232,1,-1.0
3,19:04:31.311343,19:04:52.458495,1,-1.0
3,19:04:31.311343,19:04:52.844641,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,19:04:54.379640,19:04:55.512688,2,-1.0
4,19:04:54.379640,19:04:59.987734,1,-1.0
4,19:04:54.379640,19:05:10.975460,1,-1.0
