Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:18:32.980658,12:18:38.167428,1,-1.0
1,12:18:32.980658,12:18:41.629732,-1,-1.0
1,12:18:32.980658,12:18:44.001254,-1,-1.0
1,12:18:32.980658,12:18:45.248104,1,-1.0
1,12:18:32.980658,12:18:47.174655,1,-1.0
1,12:18:32.980658,12:18:52.941825,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:18:55.725358,12:18:57.932683,1,-1.0
2,12:18:55.725358,12:19:04.508989,-1,-1.0
2,12:18:55.725358,12:19:09.802297,1,-1.0
2,12:18:55.725358,12:19:13.156199,-1,-1.0
2,12:18:55.725358,12:19:15.872656,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:19:18.455669,12:19:19.578404,1,-1.0
3,12:19:18.455669,12:19:23.075031,-1,-1.0
3,12:19:18.455669,12:19:26.385419,-1,-1.0
3,12:19:18.455669,12:19:26.819001,-1,-1.0
3,12:19:18.455669,12:19:28.454767,-1,-1.0
3,12:19:18.455669,12:19:30.432743,1,-1.0
3,12:19:18.455669,12:19:31.816972,-1,-1.0
3,12:19:18.455669,12:19:33.718503,1,-1.0
3,12:19:18.455669,12:19:35.962385,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:19:41.054340,12:19:44.564882,1,-1.0
4,12:19:41.054340,12:19:49.100338,-1,-1.0
4,12:19:41.054340,12:19:51.714785,-1,-1.0
4,12:19:41.054340,12:19:53.449228,-1,-1.0
4,12:19:41.054340,12:19:53.886429,-1,-1.0
4,12:19:41.054340,12:19:58.124401,1,-1.0
4,12:19:41.054340,12:20:01.815732,1,-1.0
4,12:19:41.054340,12:20:02.157122,1,-1.0
4,12:19:41.054340,12:20:02.493241,1,-1.0
4,12:19:41.054340,12:20:02.701139,1,-1.0
4,12:19:41.054340,12:20:02.867369,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:20:03.744043,12:20:07.641440,1,-1.0
5,12:20:03.744043,12:20:10.881141,1,-1.0
5,12:20:03.744043,12:20:13.905958,1,-1.0
5,12:20:03.744043,12:20:14.433427,1,-1.0
5,12:20:03.744043,12:20:18.993933,1,-1.0
5,12:20:03.744043,12:20:19.406139,1,-1.0
5,12:20:03.744043,12:20:23.372407,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:20:26.369374,12:20:29.887132,1,-1.0
6,12:20:26.369374,12:20:33.498781,1,-1.0
6,12:20:26.369374,12:20:38.125773,1,-1.0
6,12:20:26.369374,12:20:40.173774,1,-1.0
6,12:20:26.369374,12:20:43.645987,-1,-1.0
6,12:20:26.369374,12:20:48.244293,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:20:49.072232,12:20:49.795591,1,-1.0
7,12:20:49.072232,12:20:52.157957,-1,-1.0
7,12:20:49.072232,12:20:56.949676,-1,-1.0
7,12:20:49.072232,12:20:59.251184,-1,-1.0
7,12:20:49.072232,12:21:04.776104,-1,-1.0
7,12:20:49.072232,12:21:08.205873,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,12:21:11.683918,12:21:15.070619,-1,-1.0
8,12:21:11.683918,12:21:17.985091,-1,-1.0
8,12:21:11.683918,12:21:20.499710,-1,-1.0
8,12:21:11.683918,12:21:24.681744,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,12:21:34.304270,12:21:34.894329,-1,-1.0
9,12:21:34.304270,12:21:41.059548,-1,-1.0
9,12:21:34.304270,12:21:41.755889,1,-1.0
9,12:21:34.304270,12:21:43.469652,1,-1.0
9,12:21:34.304270,12:21:47.865181,1,-1.0
9,12:21:34.304270,12:21:51.129717,1,-1.0
9,12:21:34.304270,12:21:56.591334,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,12:21:56.978108,12:22:01.329947,-1,-1.0
10,12:21:56.978108,12:22:03.476686,1,-1.0
10,12:21:56.978108,12:22:11.605088,1,-1.0
10,12:21:56.978108,12:22:13.462621,-1,-1.0
10,12:21:56.978108,12:22:16.954207,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,12:22:19.613972,12:22:20.755104,-1,-1.0
11,12:22:19.613972,12:22:21.724198,-1,-1.0
11,12:22:19.613972,12:22:22.504882,-1,-1.0
11,12:22:19.613972,12:22:22.807171,-1,-1.0
11,12:22:19.613972,12:22:23.099845,-1,-1.0
11,12:22:19.613972,12:22:23.339577,-1,-1.0
11,12:22:19.613972,12:22:23.582405,-1,-1.0
11,12:22:19.613972,12:22:23.861329,-1,-1.0
11,12:22:19.613972,12:22:26.849406,1,-1.0
11,12:22:19.613972,12:22:30.770690,1,-1.0
11,12:22:19.613972,12:22:34.945337,1,-1.0
11,12:22:19.613972,12:22:40.127240,-1,-1.0
11,12:22:19.613972,12:22:40.811708,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,12:22:42.353148,12:22:50.324000,1,-1.0
12,12:22:42.353148,12:22:57.005326,-1,-1.0
12,12:22:42.353148,12:22:59.647787,1,-1.0
12,12:22:42.353148,12:23:00.285922,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,12:23:04.953670,12:23:10.368516,1,-1.0
13,12:23:04.953670,12:23:10.957468,-1,-1.0
13,12:23:04.953670,12:23:13.555408,1,-1.0
13,12:23:04.953670,12:23:20.187000,-1,-1.0
13,12:23:04.953670,12:23:25.832562,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,12:23:27.552291,12:23:41.957875,1,-1.0
14,12:23:27.552291,12:23:42.463469,1,-1.0
14,12:23:27.552291,12:23:42.845093,1,-1.0
14,12:23:27.552291,12:23:43.063503,-1,-1.0
14,12:23:27.552291,12:23:43.493839,1,-1.0
14,12:23:27.552291,12:23:43.826475,-1,-1.0
14,12:23:27.552291,12:23:45.671073,-1,-1.0
14,12:23:27.552291,12:23:47.224468,-1,-1.0
14,12:23:27.552291,12:23:47.648520,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,12:23:50.287722,12:23:50.382901,1,-1.0
15,12:23:50.287722,12:23:51.407832,1,-1.0
15,12:23:50.287722,12:23:53.105365,-1,-1.0
15,12:23:50.287722,12:23:53.360228,-1,-1.0
15,12:23:50.287722,12:23:53.554844,-1,-1.0
15,12:23:50.287722,12:23:53.721286,-1,-1.0
15,12:23:50.287722,12:23:53.896660,-1,-1.0
15,12:23:50.287722,12:23:54.063461,-1,-1.0
15,12:23:50.287722,12:23:54.291870,-1,-1.0
15,12:23:50.287722,12:23:54.481395,-1,-1.0
15,12:23:50.287722,12:23:54.676010,-1,-1.0
15,12:23:50.287722,12:23:54.845844,-1,-1.0
15,12:23:50.287722,12:23:55.258745,-1,-1.0
15,12:23:50.287722,12:23:55.482675,-1,-1.0
15,12:23:50.287722,12:23:55.824501,-1,-1.0
15,12:23:50.287722,12:23:56.992194,-1,-1.0
15,12:23:50.287722,12:23:58.024493,-1,-1.0
15,12:23:50.287722,12:24:04.146688,1,-1.0
15,12:23:50.287722,12:24:07.320873,1,-1.0
15,12:23:50.287722,12:24:10.896974,1,-1.0
