Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:47:16.315988,19:47:16.481752,2,-1.0
1,19:47:16.315988,19:47:16.726553,2,-1.0
1,19:47:16.315988,19:47:16.948155,2,-1.0
1,19:47:16.315988,19:47:17.132654,2,-1.0
1,19:47:16.315988,19:47:17.323121,2,-1.0
1,19:47:16.315988,19:47:17.471601,2,-1.0
1,19:47:16.315988,19:47:17.642475,2,-1.0
1,19:47:16.315988,19:47:17.825272,2,-1.0
1,19:47:16.315988,19:47:17.995584,2,-1.0
1,19:47:16.315988,19:47:18.158625,2,-1.0
1,19:47:16.315988,19:47:18.314971,2,-1.0
1,19:47:16.315988,19:47:18.478276,2,-1.0
1,19:47:16.315988,19:47:18.636247,2,-1.0
1,19:47:16.315988,19:47:18.796599,2,-1.0
1,19:47:16.315988,19:47:18.996690,2,-1.0
1,19:47:16.315988,19:47:19.877590,2,-1.0
1,19:47:16.315988,19:47:20.101471,2,-1.0
1,19:47:16.315988,19:47:20.301677,2,-1.0
1,19:47:16.315988,19:47:21.444597,2,-1.0
1,19:47:16.315988,19:47:21.655560,2,-1.0
1,19:47:16.315988,19:47:21.869615,2,-1.0
1,19:47:16.315988,19:47:22.053566,2,-1.0
1,19:47:16.315988,19:47:22.230134,2,-1.0
1,19:47:16.315988,19:47:22.421018,2,-1.0
1,19:47:16.315988,19:47:22.600113,2,-1.0
1,19:47:16.315988,19:47:22.788807,2,-1.0
1,19:47:16.315988,19:47:22.966629,2,-1.0
1,19:47:16.315988,19:47:23.159587,2,-1.0
1,19:47:16.315988,19:47:23.360284,2,-1.0
1,19:47:16.315988,19:47:23.552587,2,-1.0
1,19:47:16.315988,19:47:23.766997,2,-1.0
1,19:47:16.315988,19:47:23.972345,2,-1.0
1,19:47:16.315988,19:47:24.176040,2,-1.0
1,19:47:16.315988,19:47:24.394525,3,-1.0
1,19:47:16.315988,19:47:24.607173,3,-1.0
1,19:47:16.315988,19:47:24.807849,3,-1.0
1,19:47:16.315988,19:47:25.028245,3,-1.0
1,19:47:16.315988,19:47:25.216016,3,-1.0
1,19:47:16.315988,19:47:25.390798,3,-1.0
1,19:47:16.315988,19:47:25.589510,3,-1.0
1,19:47:16.315988,19:47:25.807854,3,-1.0
1,19:47:16.315988,19:47:25.994324,3,-1.0
1,19:47:16.315988,19:47:26.266426,3,-1.0
1,19:47:16.315988,19:47:26.505477,3,-1.0
1,19:47:16.315988,19:47:26.754222,3,-1.0
1,19:47:16.315988,19:47:26.993215,3,-1.0
1,19:47:16.315988,19:47:27.200226,3,-1.0
1,19:47:16.315988,19:47:27.435129,3,-1.0
1,19:47:16.315988,19:47:27.636276,3,-1.0
1,19:47:16.315988,19:47:27.829667,3,-1.0
1,19:47:16.315988,19:47:28.026407,3,-1.0
1,19:47:16.315988,19:47:28.202913,3,-1.0
1,19:47:16.315988,19:47:28.462503,3,-1.0
1,19:47:16.315988,19:47:28.671473,3,-1.0
1,19:47:16.315988,19:47:28.913159,3,-1.0
1,19:47:16.315988,19:47:29.124395,3,-1.0
1,19:47:16.315988,19:47:29.344304,3,-1.0
1,19:47:16.315988,19:47:29.576197,3,-1.0
1,19:47:16.315988,19:47:29.788664,3,-1.0
1,19:47:16.315988,19:47:30.006117,3,-1.0
1,19:47:16.315988,19:47:30.225781,3,-1.0
1,19:47:16.315988,19:47:30.449958,3,-1.0
1,19:47:16.315988,19:47:30.723698,3,-1.0
1,19:47:16.315988,19:47:30.997261,3,-1.0
1,19:47:16.315988,19:47:31.203542,3,-1.0
1,19:47:16.315988,19:47:31.412591,3,-1.0
1,19:47:16.315988,19:47:31.625341,3,-1.0
1,19:47:16.315988,19:47:31.864022,3,-1.0
1,19:47:16.315988,19:47:32.103149,3,-1.0
1,19:47:16.315988,19:47:32.346087,3,-1.0
1,19:47:16.315988,19:47:32.595175,3,-1.0
1,19:47:16.315988,19:47:32.825717,3,-1.0
1,19:47:16.315988,19:47:33.024917,3,-1.0
1,19:47:16.315988,19:47:33.254544,3,-1.0
1,19:47:16.315988,19:47:33.463815,3,-1.0
1,19:47:16.315988,19:47:33.664431,3,-1.0
1,19:47:16.315988,19:47:33.872346,3,-1.0
1,19:47:16.315988,19:47:34.145217,3,-1.0
1,19:47:16.315988,19:47:34.334574,3,-1.0
1,19:47:16.315988,19:47:34.522671,3,-1.0
1,19:47:16.315988,19:47:34.720181,3,-1.0
1,19:47:16.315988,19:47:35.243253,2,-1.0
1,19:47:16.315988,19:47:35.447795,2,-1.0
1,19:47:16.315988,19:47:35.637268,2,-1.0
1,19:47:16.315988,19:47:37.322930,2,-1.0
1,19:47:16.315988,19:47:37.574418,2,-1.0
1,19:47:16.315988,19:47:37.750397,2,-1.0
1,19:47:16.315988,19:47:38.197585,2,-1.0
1,19:47:16.315988,19:47:38.421470,2,-1.0
1,19:47:16.315988,19:47:38.624230,2,-1.0
1,19:47:16.315988,19:47:38.837415,2,-1.0
1,19:47:16.315988,19:47:39.032230,2,-1.0
1,19:47:16.315988,19:47:39.232316,2,-1.0
1,19:47:16.315988,19:47:39.430852,2,-1.0
1,19:47:16.315988,19:47:39.628858,2,-1.0
1,19:47:16.315988,19:47:39.827996,2,-1.0
1,19:47:16.315988,19:47:40.028423,2,-1.0
1,19:47:16.315988,19:47:40.267773,2,-1.0
1,19:47:16.315988,19:47:40.465175,2,-1.0
1,19:47:16.315988,19:47:40.656593,2,-1.0
1,19:47:16.315988,19:47:40.862024,2,-1.0
1,19:47:16.315988,19:47:41.056248,2,-1.0
1,19:47:16.315988,19:47:44.712619,3,-1.0
1,19:47:16.315988,19:47:44.935011,3,-1.0
1,19:47:16.315988,19:47:45.194553,3,-1.0
1,19:47:16.315988,19:47:45.412786,3,-1.0
1,19:47:16.315988,19:47:45.675437,3,-1.0
1,19:47:16.315988,19:47:45.888099,3,-1.0
1,19:47:16.315988,19:47:46.788689,3,-1.0
1,19:47:16.315988,19:47:46.987358,3,-1.0
1,19:47:16.315988,19:47:47.200160,3,-1.0
1,19:47:16.315988,19:47:47.442657,3,-1.0
1,19:47:16.315988,19:47:47.626890,3,-1.0
1,19:47:16.315988,19:47:47.896539,3,-1.0
1,19:47:16.315988,19:47:48.124739,3,-1.0
1,19:47:16.315988,19:47:48.337946,3,-1.0
1,19:47:16.315988,19:47:48.534366,3,-1.0
1,19:47:16.315988,19:47:48.751406,3,-1.0
1,19:47:16.315988,19:47:48.982043,3,-1.0
1,19:47:16.315988,19:47:49.178424,3,-1.0
1,19:47:16.315988,19:47:49.394644,3,-1.0
1,19:47:16.315988,19:47:49.587630,3,-1.0
1,19:47:16.315988,19:47:49.831144,3,-1.0
1,19:47:16.315988,19:47:50.041040,3,-1.0
1,19:47:16.315988,19:47:50.238436,3,-1.0
1,19:47:16.315988,19:47:50.470366,3,-1.0
1,19:47:16.315988,19:47:50.683995,3,-1.0
1,19:47:16.315988,19:47:50.922818,3,-1.0
1,19:47:16.315988,19:47:51.150383,3,-1.0
1,19:47:16.315988,19:47:51.391115,3,-1.0
1,19:47:16.315988,19:47:51.628199,3,-1.0
1,19:47:16.315988,19:47:51.857998,3,-1.0
1,19:47:16.315988,19:47:52.078066,3,-1.0
1,19:47:16.315988,19:47:52.326525,3,-1.0
1,19:47:16.315988,19:47:52.540899,3,-1.0
1,19:47:16.315988,19:47:52.759742,3,-1.0
1,19:47:16.315988,19:47:53.001258,3,-1.0
1,19:47:16.315988,19:47:53.253855,3,-1.0
1,19:47:16.315988,19:47:53.516786,3,-1.0
1,19:47:16.315988,19:47:53.739480,3,-1.0
1,19:47:16.315988,19:47:53.988738,3,-1.0
1,19:47:16.315988,19:47:54.197194,3,-1.0
1,19:47:16.315988,19:47:54.465647,3,-1.0
1,19:47:16.315988,19:47:54.694536,3,-1.0
