Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:25:07.546186,14:25:13.969842,1,-1.0
1,14:25:07.546186,14:25:18.198396,1,-1.0
1,14:25:07.546186,14:25:21.433792,-1,-1.0
1,14:25:07.546186,14:25:22.013239,-1,-1.0
1,14:25:07.546186,14:25:22.423795,-1,-1.0
1,14:25:07.546186,14:25:27.105534,1,-1.0
1,14:25:07.546186,14:25:31.092967,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:25:36.972218,14:25:40.144839,-1,-1.0
2,14:25:36.972218,14:25:40.776579,-1,-1.0
2,14:25:36.972218,14:25:50.323708,1,-1.0
2,14:25:36.972218,14:25:51.860403,1,-1.0
2,14:25:36.972218,14:25:54.282085,-1,-1.0
2,14:25:36.972218,14:25:54.918516,-1,-1.0
2,14:25:36.972218,14:25:55.728684,1,-1.0
2,14:25:36.972218,14:26:00.083716,1,-1.0
2,14:25:36.972218,14:26:05.300078,1,-1.0
2,14:25:36.972218,14:26:05.748982,1,-1.0
2,14:25:36.972218,14:26:08.206318,1,-1.0
