Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:56:53.157714,11:56:56.766907,1,-1.0
1,11:56:53.157714,11:57:00.105419,1,-1.0
1,11:56:53.157714,11:57:08.753511,-1,-1.0
1,11:56:53.157714,11:57:09.156509,-1,-1.0
1,11:56:53.157714,11:57:09.705747,-1,-1.0
1,11:56:53.157714,11:57:10.209390,1,-1.0
1,11:56:53.157714,11:57:11.500334,-1,-1.0
1,11:56:53.157714,11:57:11.919658,-1,-1.0
1,11:56:53.157714,11:57:20.708401,-1,-1.0
1,11:56:53.157714,11:57:21.382962,1,-1.0
1,11:56:53.157714,11:57:28.665065,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:57:30.510583,11:57:32.840521,-1,-1.0
2,11:57:30.510583,11:57:33.570964,-1,-1.0
2,11:57:30.510583,11:57:34.244965,-1,-1.0
2,11:57:30.510583,11:57:40.911649,1,-1.0
2,11:57:30.510583,11:57:43.971384,1,-1.0
2,11:57:30.510583,11:57:44.357108,1,-1.0
2,11:57:30.510583,11:57:45.060008,-1,-1.0
2,11:57:30.510583,11:57:45.611638,-1,-1.0
2,11:57:30.510583,11:57:46.296881,1,-1.0
2,11:57:30.510583,11:57:46.723360,1,-1.0
2,11:57:30.510583,11:57:47.099130,1,-1.0
2,11:57:30.510583,11:57:48.110855,1,-1.0
