Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:00:35.626042,19:00:38.854413,1,-1.0
1,19:00:35.626042,19:00:40.315179,2,-1.0
1,19:00:35.626042,19:00:44.816465,3,-1.0
1,19:00:35.626042,19:00:49.275770,1,-1.0
1,19:00:35.626042,19:00:52.407403,2,-1.0
1,19:00:35.626042,19:00:57.481740,1,-1.0
1,19:00:35.626042,19:00:59.955424,3,-1.0
1,19:00:35.626042,19:01:03.697312,3,-1.0
1,19:00:35.626042,19:01:05.279134,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:01:08.776902,19:01:11.125466,2,-1.0
2,19:01:08.776902,19:01:16.182066,1,-1.0
2,19:01:08.776902,19:01:19.696114,1,-1.0
2,19:01:08.776902,19:01:20.426280,-1,-1.0
2,19:01:08.776902,19:01:23.200192,3,-1.0
2,19:01:08.776902,19:01:27.238631,1,-1.0
