Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:04:18.973583,12:04:27.762386,-1,-1.0
1,12:04:18.973583,12:04:35.003562,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:04:41.629983,12:04:42.529162,-1,-1.0
2,12:04:41.629983,12:04:51.309744,-1,-1.0
2,12:04:41.629983,12:04:56.651547,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:05:04.291123,12:05:05.005900,-1,-1.0
3,12:05:04.291123,12:05:09.578778,-1,-1.0
3,12:05:04.291123,12:05:17.120260,1,-1.0
3,12:05:04.291123,12:05:17.695705,1,-1.0
3,12:05:04.291123,12:05:18.011260,1,-1.0
3,12:05:04.291123,12:05:26.868781,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:05:27.032173,12:05:35.836576,-1,-1.0
4,12:05:27.032173,12:05:36.231235,-1,-1.0
4,12:05:27.032173,12:05:48.786547,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:05:49.626826,12:05:56.524779,-1,-1.0
5,12:05:49.626826,12:06:03.370378,-1,-1.0
5,12:05:49.626826,12:06:05.896737,-1,-1.0
5,12:05:49.626826,12:06:07.932574,1,-1.0
5,12:05:49.626826,12:06:10.595083,-1,-1.0
5,12:05:49.626826,12:06:11.036332,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:06:12.314365,12:06:13.249971,-1,-1.0
6,12:06:12.314365,12:06:15.768786,-1,-1.0
6,12:06:12.314365,12:06:22.444376,-1,-1.0
6,12:06:12.314365,12:06:27.582448,-1,-1.0
6,12:06:12.314365,12:06:32.623530,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:06:34.947424,12:06:36.256463,-1,-1.0
7,12:06:34.947424,12:06:39.562380,-1,-1.0
7,12:06:34.947424,12:06:42.623449,-1,-1.0
7,12:06:34.947424,12:06:46.211154,-1,-1.0
7,12:06:34.947424,12:06:48.894668,-1,-1.0
7,12:06:34.947424,12:06:49.422934,-1,-1.0
7,12:06:34.947424,12:06:51.353801,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,12:06:57.595353,12:07:08.885928,1,-1.0
8,12:06:57.595353,12:07:13.840444,-1,-1.0
8,12:06:57.595353,12:07:16.611483,1,-1.0
8,12:06:57.595353,12:07:16.695775,-1,-1.0
8,12:06:57.595353,12:07:17.203769,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,12:07:20.288194,12:07:28.158849,1,-1.0
9,12:07:20.288194,12:07:35.676271,-1,-1.0
9,12:07:20.288194,12:07:40.913218,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,12:07:43.023779,12:07:43.117193,-1,-1.0
10,12:07:43.023779,12:07:46.605790,-1,-1.0
10,12:07:43.023779,12:07:52.144495,-1,-1.0
10,12:07:43.023779,12:08:05.058799,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,12:08:05.675984,12:08:07.360863,-1,-1.0
11,12:08:05.675984,12:08:15.834389,1,-1.0
11,12:08:05.675984,12:08:22.760104,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,12:08:28.304509,12:08:29.931336,-1,-1.0
12,12:08:28.304509,12:08:31.943918,-1,-1.0
12,12:08:28.304509,12:08:32.431874,-1,-1.0
12,12:08:28.304509,12:08:37.561459,-1,-1.0
12,12:08:28.304509,12:08:38.746195,1,-1.0
12,12:08:28.304509,12:08:39.539039,1,-1.0
12,12:08:28.304509,12:08:46.929322,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,12:08:50.883372,12:08:54.533849,1,-1.0
13,12:08:50.883372,12:08:54.992566,1,-1.0
13,12:08:50.883372,12:08:59.387186,1,-1.0
13,12:08:50.883372,12:09:00.212771,-1,-1.0
13,12:08:50.883372,12:09:05.723525,-1,-1.0
13,12:08:50.883372,12:09:06.179813,-1,-1.0
13,12:08:50.883372,12:09:11.195888,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,12:09:13.561078,12:09:18.532302,1,-1.0
14,12:09:13.561078,12:09:21.415745,-1,-1.0
14,12:09:13.561078,12:09:25.231543,-1,-1.0
14,12:09:13.561078,12:09:30.926140,-1,-1.0
14,12:09:13.561078,12:09:31.353385,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,12:09:36.284002,12:09:37.800212,-1,-1.0
15,12:09:36.284002,12:09:38.200460,-1,-1.0
15,12:09:36.284002,12:09:40.778492,-1,-1.0
15,12:09:36.284002,12:09:42.269988,1,-1.0
15,12:09:36.284002,12:09:46.447345,1,-1.0
15,12:09:36.284002,12:09:50.350908,-1,-1.0
15,12:09:36.284002,12:09:55.628126,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
16,12:09:58.959407,12:09:59.588585,-1,-1.0
16,12:09:58.959407,12:10:03.423218,-1,-1.0
16,12:09:58.959407,12:10:07.257523,-1,-1.0
16,12:09:58.959407,12:10:07.774614,-1,-1.0
16,12:09:58.959407,12:10:09.391645,1,-1.0
16,12:09:58.959407,12:10:14.131299,1,-1.0
16,12:09:58.959407,12:10:17.677058,1,-1.0
16,12:09:58.959407,12:10:20.406111,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
17,12:10:21.619630,12:10:29.123745,-1,-1.0
17,12:10:21.619630,12:10:33.704926,1,-1.0
17,12:10:21.619630,12:10:38.704747,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
18,12:10:44.112348,12:10:44.205169,1,-1.0
18,12:10:44.112348,12:10:51.872466,1,-1.0
18,12:10:44.112348,12:10:56.997270,-1,-1.0
18,12:10:44.112348,12:11:00.763261,1,-1.0
18,12:10:44.112348,12:11:05.480785,1,-1.0
18,12:10:44.112348,12:11:06.568739,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
19,12:11:06.837021,12:11:07.409618,1,-1.0
19,12:11:06.837021,12:11:13.192265,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
20,12:11:30.116268,12:11:42.366363,-1,-1.0
20,12:11:30.116268,12:11:45.764145,1,-1.0
20,12:11:30.116268,12:11:47.319730,-1,-1.0
20,12:11:30.116268,12:11:49.129788,-1,-1.0
20,12:11:30.116268,12:11:50.692386,1,-1.0
20,12:11:30.116268,12:11:51.827244,1,-1.0
