Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:07:01.855753,11:07:08.981848,1,-1.0
1,11:07:01.855753,11:07:09.599501,-1,-1.0
1,11:07:01.855753,11:07:11.185471,-1,-1.0
1,11:07:01.855753,11:07:11.604239,1,-1.0
1,11:07:01.855753,11:07:17.339019,1,-1.0
1,11:07:01.855753,11:07:18.354507,1,-1.0
1,11:07:01.855753,11:07:21.898271,1,-1.0
1,11:07:01.855753,11:07:22.200365,1,-1.0
1,11:07:01.855753,11:07:22.435016,1,-1.0
1,11:07:01.855753,11:07:23.966636,1,-1.0
1,11:07:01.855753,11:07:24.968867,1,-1.0
1,11:07:01.855753,11:07:29.981674,1,-1.0
1,11:07:01.855753,11:07:36.696740,1,-1.0
1,11:07:01.855753,11:07:38.610101,1,-1.0
1,11:07:01.855753,11:07:46.046365,1,-1.0
1,11:07:01.855753,11:07:46.521006,1,-1.0
1,11:07:01.855753,11:07:53.498070,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:08:01.191952,11:08:06.136979,1,-1.0
2,11:08:01.191952,11:08:07.907795,-1,-1.0
2,11:08:01.191952,11:08:09.275679,1,-1.0
2,11:08:01.191952,11:08:09.628875,-1,-1.0
2,11:08:01.191952,11:08:16.170317,-1,-1.0
2,11:08:01.191952,11:08:17.334716,-1,-1.0
2,11:08:01.191952,11:08:20.118864,-1,-1.0
2,11:08:01.191952,11:08:20.569680,-1,-1.0
2,11:08:01.191952,11:08:20.878730,-1,-1.0
2,11:08:01.191952,11:08:21.166488,-1,-1.0
2,11:08:01.191952,11:08:21.443232,-1,-1.0
2,11:08:01.191952,11:08:21.714868,-1,-1.0
2,11:08:01.191952,11:08:21.979891,-1,-1.0
2,11:08:01.191952,11:08:22.237442,-1,-1.0
2,11:08:01.191952,11:08:22.493331,-1,-1.0
2,11:08:01.191952,11:08:22.747842,-1,-1.0
2,11:08:01.191952,11:08:22.973166,-1,-1.0
2,11:08:01.191952,11:08:23.242356,-1,-1.0
2,11:08:01.191952,11:08:23.520521,-1,-1.0
2,11:08:01.191952,11:08:24.388544,1,-1.0
2,11:08:01.191952,11:08:26.887822,-1,-1.0
2,11:08:01.191952,11:08:29.444965,-1,-1.0
2,11:08:01.191952,11:08:30.360959,-1,-1.0
2,11:08:01.191952,11:08:33.497816,-1,-1.0
2,11:08:01.191952,11:08:34.083664,-1,-1.0
2,11:08:01.191952,11:08:35.886159,-1,-1.0
2,11:08:01.191952,11:08:37.281252,-1,-1.0
2,11:08:01.191952,11:08:38.116471,-1,-1.0
2,11:08:01.191952,11:08:38.937001,-1,-1.0
2,11:08:01.191952,11:08:40.750807,1,-1.0
2,11:08:01.191952,11:08:46.820436,1,-1.0
2,11:08:01.191952,11:08:49.600886,1,-1.0
2,11:08:01.191952,11:08:57.318677,1,-1.0
2,11:08:01.191952,11:08:57.958890,1,-1.0
2,11:08:01.191952,11:08:58.180114,1,-1.0
