Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:35:47.382936,19:35:48.638228,2,-1.0
1,19:35:47.382936,19:35:49.964342,2,-1.0
1,19:35:47.382936,19:35:50.900411,2,-1.0
1,19:35:47.382936,19:35:51.083512,2,-1.0
1,19:35:47.382936,19:35:51.272394,2,-1.0
1,19:35:47.382936,19:35:51.453818,2,-1.0
1,19:35:47.382936,19:35:51.660312,2,-1.0
1,19:35:47.382936,19:35:51.830464,2,-1.0
1,19:35:47.382936,19:35:52.027676,2,-1.0
1,19:35:47.382936,19:35:52.219385,2,-1.0
1,19:35:47.382936,19:35:52.418268,2,-1.0
1,19:35:47.382936,19:35:52.598271,2,-1.0
1,19:35:47.382936,19:35:52.792320,2,-1.0
1,19:35:47.382936,19:35:52.983317,2,-1.0
1,19:35:47.382936,19:35:53.176566,2,-1.0
1,19:35:47.382936,19:35:53.368915,2,-1.0
1,19:35:47.382936,19:35:57.574410,3,-1.0
1,19:35:47.382936,19:35:57.795706,3,-1.0
1,19:35:47.382936,19:35:57.999559,3,-1.0
1,19:35:47.382936,19:35:58.167140,3,-1.0
1,19:35:47.382936,19:35:58.385394,3,-1.0
1,19:35:47.382936,19:35:58.563445,3,-1.0
1,19:35:47.382936,19:35:58.761726,3,-1.0
1,19:35:47.382936,19:35:58.954728,3,-1.0
1,19:35:47.382936,19:35:59.265529,3,-1.0
1,19:35:47.382936,19:35:59.504085,3,-1.0
1,19:35:47.382936,19:36:04.874919,3,-1.0
1,19:35:47.382936,19:36:05.163625,3,-1.0
1,19:35:47.382936,19:36:05.356580,3,-1.0
1,19:35:47.382936,19:36:05.525521,3,-1.0
1,19:35:47.382936,19:36:05.716839,3,-1.0
1,19:35:47.382936,19:36:05.902789,3,-1.0
1,19:35:47.382936,19:36:06.089853,3,-1.0
1,19:35:47.382936,19:36:06.320079,3,-1.0
1,19:35:47.382936,19:36:07.022551,2,-1.0
1,19:35:47.382936,19:36:07.252328,2,-1.0
1,19:35:47.382936,19:36:07.467640,2,-1.0
1,19:35:47.382936,19:36:07.693554,2,-1.0
1,19:35:47.382936,19:36:07.904572,2,-1.0
