Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:21:43.500558,11:21:46.988477,1,-1.0
1,11:21:43.500558,11:21:47.863231,1,-1.0
1,11:21:43.500558,11:21:49.060143,1,-1.0
1,11:21:43.500558,11:21:49.268007,1,-1.0
1,11:21:43.500558,11:21:50.771516,1,-1.0
1,11:21:43.500558,11:21:52.472148,1,-1.0
1,11:21:43.500558,11:21:53.448404,-1,-1.0
1,11:21:43.500558,11:21:54.272126,-1,-1.0
1,11:21:43.500558,11:21:55.406748,1,-1.0
1,11:21:43.500558,11:21:59.903970,1,-1.0
1,11:21:43.500558,11:22:03.671619,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:22:04.979558,11:22:17.377248,-1,-1.0
2,11:22:04.979558,11:22:23.438561,-1,-1.0
2,11:22:04.979558,11:22:25.555884,-1,-1.0
2,11:22:04.979558,11:22:25.839275,-1,-1.0
2,11:22:04.979558,11:22:26.034880,-1,-1.0
