Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:31:08.545989,22:31:12.242700,1,-1.0
1,22:31:08.545989,22:31:13.954419,1,-1.0
1,22:31:08.545989,22:31:15.524059,-1,-1.0
1,22:31:08.545989,22:31:17.226113,-1,-1.0
1,22:31:08.545989,22:31:17.787183,-1,-1.0
1,22:31:08.545989,22:31:31.297972,1,-1.0
1,22:31:08.545989,22:31:32.034890,1,-1.0
1,22:31:08.545989,22:31:32.878672,-1,-1.0
1,22:31:08.545989,22:31:33.584581,-1,-1.0
1,22:31:08.545989,22:31:34.328943,-1,-1.0
1,22:31:08.545989,22:31:35.088468,1,-1.0
1,22:31:08.545989,22:31:36.571194,1,-1.0
1,22:31:08.545989,22:31:38.459610,1,-1.0
1,22:31:08.545989,22:31:39.425881,1,-1.0
1,22:31:08.545989,22:31:40.738969,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:31:42.417786,22:31:43.387872,-1,-1.0
2,22:31:42.417786,22:31:44.025593,-1,-1.0
2,22:31:42.417786,22:31:44.846580,1,-1.0
2,22:31:42.417786,22:31:47.641224,1,-1.0
2,22:31:42.417786,22:31:49.050810,1,-1.0
2,22:31:42.417786,22:31:51.309579,1,-1.0
2,22:31:42.417786,22:31:51.833925,1,-1.0
2,22:31:42.417786,22:31:54.233590,-1,-1.0
2,22:31:42.417786,22:31:54.736559,-1,-1.0
2,22:31:42.417786,22:31:55.266569,-1,-1.0
2,22:31:42.417786,22:31:55.994560,1,-1.0
2,22:31:42.417786,22:31:57.327152,1,-1.0
2,22:31:42.417786,22:31:58.820876,1,-1.0
2,22:31:42.417786,22:32:01.038395,1,-1.0
2,22:31:42.417786,22:32:01.609492,1,-1.0
2,22:31:42.417786,22:32:07.471035,-1,-1.0
2,22:31:42.417786,22:32:07.972470,-1,-1.0
2,22:31:42.417786,22:32:08.702618,1,-1.0
2,22:31:42.417786,22:32:13.336772,1,-1.0
2,22:31:42.417786,22:32:13.659904,1,-1.0
2,22:31:42.417786,22:32:14.319149,1,-1.0
2,22:31:42.417786,22:32:14.681052,-1,-1.0
2,22:31:42.417786,22:32:15.181087,-1,-1.0
2,22:31:42.417786,22:32:15.875759,1,-1.0
2,22:31:42.417786,22:32:16.931520,1,-1.0
2,22:31:42.417786,22:32:18.434899,1,-1.0
