Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:36:55.010196,11:37:02.489154,1,-1.0
1,11:36:55.010196,11:37:04.052060,1,-1.0
1,11:36:55.010196,11:37:04.293651,1,-1.0
1,11:36:55.010196,11:37:04.651231,1,-1.0
1,11:36:55.010196,11:37:04.911571,1,-1.0
1,11:36:55.010196,11:37:05.499081,-1,-1.0
1,11:36:55.010196,11:37:05.932308,-1,-1.0
1,11:36:55.010196,11:37:06.212452,-1,-1.0
1,11:36:55.010196,11:37:06.475494,-1,-1.0
1,11:36:55.010196,11:37:06.691933,-1,-1.0
1,11:36:55.010196,11:37:06.953812,-1,-1.0
1,11:36:55.010196,11:37:07.180542,-1,-1.0
1,11:36:55.010196,11:37:07.431512,-1,-1.0
1,11:36:55.010196,11:37:07.658637,-1,-1.0
1,11:36:55.010196,11:37:07.853773,-1,-1.0
1,11:36:55.010196,11:37:08.072116,-1,-1.0
1,11:36:55.010196,11:37:08.292776,-1,-1.0
1,11:36:55.010196,11:37:08.530100,-1,-1.0
1,11:36:55.010196,11:37:08.790608,-1,-1.0
1,11:36:55.010196,11:37:09.118468,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:37:16.856484,11:37:28.800723,1,-1.0
2,11:37:16.856484,11:37:29.602176,1,-1.0
2,11:37:16.856484,11:37:29.886315,1,-1.0
2,11:37:16.856484,11:37:30.102130,1,-1.0
2,11:37:16.856484,11:37:30.328119,1,-1.0
2,11:37:16.856484,11:37:30.555937,1,-1.0
2,11:37:16.856484,11:37:31.550606,1,-1.0
2,11:37:16.856484,11:37:32.310652,1,-1.0
2,11:37:16.856484,11:37:32.548117,1,-1.0
2,11:37:16.856484,11:37:32.745096,1,-1.0
2,11:37:16.856484,11:37:32.941344,1,-1.0
2,11:37:16.856484,11:37:33.639623,-1,-1.0
2,11:37:16.856484,11:37:34.054900,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,11:37:38.557516,11:37:38.684814,-1,-1.0
3,11:37:38.557516,11:37:40.437623,1,-1.0
3,11:37:38.557516,11:37:40.988372,1,-1.0
3,11:37:38.557516,11:37:41.281233,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,11:38:00.773536,11:38:05.843322,1,-1.0
4,11:38:00.773536,11:38:06.098048,-1,-1.0
4,11:38:00.773536,11:38:06.451989,1,-1.0
4,11:38:00.773536,11:38:06.691359,-1,-1.0
4,11:38:00.773536,11:38:06.976988,1,-1.0
