Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:39:54.506237,11:40:06.993922,1,-1.0
2,11:39:54.506237,11:40:07.225297,-1,-1.0
2,11:39:54.506237,11:40:08.129721,-1,-1.0
2,11:39:54.506237,11:40:09.251274,-1,-1.0
2,11:39:54.506237,11:40:10.627988,1,-1.0
2,11:39:54.506237,11:40:11.041857,1,-1.0
2,11:39:54.506237,11:40:13.715977,1,-1.0
2,11:39:54.506237,11:40:13.987262,1,-1.0
2,11:39:54.506237,11:40:16.218380,1,-1.0
2,11:39:54.506237,11:40:17.352884,1,-1.0
2,11:39:54.506237,11:40:17.603261,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,11:40:17.773708,11:40:17.797219,1,-1.0
3,11:40:17.773708,11:40:17.953483,1,-1.0
3,11:40:17.773708,11:40:18.123485,1,-1.0
3,11:40:17.773708,11:40:21.910034,-1,-1.0
3,11:40:17.773708,11:40:31.102438,-1,-1.0
3,11:40:17.773708,11:40:40.123772,1,-1.0
3,11:40:17.773708,11:40:40.545227,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,11:40:40.708013,11:40:47.130184,-1,-1.0
4,11:40:40.708013,11:40:54.512615,-1,-1.0
4,11:40:40.708013,11:41:02.210460,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,11:41:03.508642,11:41:07.722831,1,-1.0
5,11:41:03.508642,11:41:16.369691,-1,-1.0
5,11:41:03.508642,11:41:22.025125,-1,-1.0
5,11:41:03.508642,11:41:24.707190,-1,-1.0
