Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:11:11.265831,16:11:14.787842,2,-1.0
1,16:11:11.265831,16:11:18.588718,3,-1.0
1,16:11:11.265831,16:11:21.226697,1,-1.0
1,16:11:11.265831,16:11:21.641665,1,-1.0
1,16:11:11.265831,16:11:24.684742,2,-1.0
1,16:11:11.265831,16:11:27.725882,1,-1.0
1,16:11:11.265831,16:11:30.970261,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:11:33.588980,16:11:36.902820,1,-1.0
2,16:11:33.588980,16:11:42.827898,1,-1.0
2,16:11:33.588980,16:11:43.497440,1,-1.0
2,16:11:33.588980,16:11:44.403182,1,-1.0
2,16:11:33.588980,16:11:49.229660,1,-1.0
