Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:27:04.721668,11:27:07.298870,1,-1.0
1,11:27:04.721668,11:27:08.093120,1,-1.0
1,11:27:04.721668,11:27:08.948446,1,-1.0
1,11:27:04.721668,11:27:09.974888,1,-1.0
1,11:27:04.721668,11:27:11.078524,1,-1.0
1,11:27:04.721668,11:27:11.802518,-1,-1.0
1,11:27:04.721668,11:27:12.422179,-1,-1.0
1,11:27:04.721668,11:27:12.982031,1,-1.0
1,11:27:04.721668,11:27:13.712307,-1,-1.0
1,11:27:04.721668,11:27:14.369133,-1,-1.0
1,11:27:04.721668,11:27:14.962221,-1,-1.0
1,11:27:04.721668,11:27:15.420273,1,-1.0
1,11:27:04.721668,11:27:16.001488,-1,-1.0
1,11:27:04.721668,11:27:16.385799,-1,-1.0
1,11:27:04.721668,11:27:17.133623,1,-1.0
1,11:27:04.721668,11:27:21.377733,1,-1.0
1,11:27:04.721668,11:27:22.955101,1,-1.0
1,11:27:04.721668,11:27:23.422070,1,-1.0
1,11:27:04.721668,11:27:25.093375,-1,-1.0
1,11:27:04.721668,11:27:25.483821,-1,-1.0
1,11:27:04.721668,11:27:27.642191,1,-1.0
1,11:27:04.721668,11:27:28.126616,1,-1.0
1,11:27:04.721668,11:27:30.139022,-1,-1.0
1,11:27:04.721668,11:27:30.946574,1,-1.0
1,11:27:04.721668,11:27:32.609497,1,-1.0
1,11:27:04.721668,11:27:36.184126,1,-1.0
1,11:27:04.721668,11:27:36.783361,1,-1.0
1,11:27:04.721668,11:27:38.151752,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:27:40.683270,11:27:43.473778,-1,-1.0
2,11:27:40.683270,11:27:43.906664,-1,-1.0
2,11:27:40.683270,11:27:44.424787,-1,-1.0
2,11:27:40.683270,11:27:44.875428,-1,-1.0
2,11:27:40.683270,11:27:45.423311,-1,-1.0
2,11:27:40.683270,11:27:45.907521,-1,-1.0
2,11:27:40.683270,11:27:46.551372,-1,-1.0
2,11:27:40.683270,11:27:47.443556,1,-1.0
2,11:27:40.683270,11:27:48.673237,1,-1.0
2,11:27:40.683270,11:27:50.117734,1,-1.0
2,11:27:40.683270,11:27:50.492633,1,-1.0
2,11:27:40.683270,11:27:51.809454,1,-1.0
2,11:27:40.683270,11:27:52.877429,-1,-1.0
2,11:27:40.683270,11:27:54.145986,-1,-1.0
2,11:27:40.683270,11:27:54.720321,-1,-1.0
2,11:27:40.683270,11:27:55.361698,1,-1.0
2,11:27:40.683270,11:27:56.069283,1,-1.0
2,11:27:40.683270,11:27:56.544434,1,-1.0
2,11:27:40.683270,11:27:56.907895,1,-1.0
2,11:27:40.683270,11:27:57.958909,1,-1.0
2,11:27:40.683270,11:28:00.508999,1,-1.0
