Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:42:19.807357,16:42:29.200350,3,-1.0
1,16:42:19.807357,16:42:33.199178,1,-1.0
1,16:42:19.807357,16:42:34.393070,2,-1.0
1,16:42:19.807357,16:42:39.085671,2,-1.0
1,16:42:19.807357,16:42:39.265774,2,-1.0
1,16:42:19.807357,16:42:39.437040,2,-1.0
1,16:42:19.807357,16:42:39.594859,2,-1.0
1,16:42:19.807357,16:42:39.764731,2,-1.0
1,16:42:19.807357,16:42:39.956062,2,-1.0
1,16:42:19.807357,16:42:40.114840,2,-1.0
1,16:42:19.807357,16:42:40.422814,2,-1.0
1,16:42:19.807357,16:42:40.590671,2,-1.0
1,16:42:19.807357,16:42:40.737117,2,-1.0
1,16:42:19.807357,16:42:40.888049,2,-1.0
1,16:42:19.807357,16:42:41.019195,2,-1.0
1,16:42:19.807357,16:42:41.197709,2,-1.0
1,16:42:19.807357,16:42:41.332680,2,-1.0
1,16:42:19.807357,16:42:41.469718,2,-1.0
1,16:42:19.807357,16:42:41.615122,2,-1.0
1,16:42:19.807357,16:42:41.775247,2,-1.0
1,16:42:19.807357,16:42:41.922588,2,-1.0
1,16:42:19.807357,16:42:42.586177,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:42:42.908495,16:42:47.062750,3,-1.0
2,16:42:42.908495,16:42:47.333877,3,-1.0
2,16:42:42.908495,16:42:47.542281,3,-1.0
2,16:42:42.908495,16:42:47.622845,3,-1.0
2,16:42:42.908495,16:42:47.795241,3,-1.0
2,16:42:42.908495,16:42:48.018813,3,-1.0
2,16:42:42.908495,16:42:48.277488,3,-1.0
2,16:42:42.908495,16:42:48.527718,3,-1.0
2,16:42:42.908495,16:42:48.964996,1,-1.0
2,16:42:42.908495,16:42:51.609566,1,-1.0
2,16:42:42.908495,16:42:52.611428,3,-1.0
2,16:42:42.908495,16:42:53.660087,2,-1.0
2,16:42:42.908495,16:42:53.879235,2,-1.0
2,16:42:42.908495,16:42:54.048160,2,-1.0
2,16:42:42.908495,16:42:54.212132,2,-1.0
2,16:42:42.908495,16:42:54.329158,2,-1.0
2,16:42:42.908495,16:42:54.475147,2,-1.0
2,16:42:42.908495,16:42:54.630147,2,-1.0
2,16:42:42.908495,16:42:54.976132,1,-1.0
2,16:42:42.908495,16:42:55.588199,1,-1.0
2,16:42:42.908495,16:42:55.915583,1,-1.0
2,16:42:42.908495,16:42:56.149068,1,-1.0
2,16:42:42.908495,16:42:56.941664,3,-1.0
2,16:42:42.908495,16:42:57.429631,1,-1.0
2,16:42:42.908495,16:42:57.868458,1,-1.0
2,16:42:42.908495,16:42:58.162500,1,-1.0
2,16:42:42.908495,16:42:58.351482,1,-1.0
2,16:42:42.908495,16:42:58.559511,1,-1.0
2,16:42:42.908495,16:42:58.743511,1,-1.0
2,16:42:42.908495,16:42:58.982003,1,-1.0
2,16:42:42.908495,16:42:59.213998,1,-1.0
2,16:42:42.908495,16:42:59.601028,1,-1.0
