Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:25:43.326818,21:25:51.033030,-1,-1.0
1,21:25:43.326818,21:25:51.841948,-1,-1.0
1,21:25:43.326818,21:26:01.835310,1,-1.0
1,21:25:43.326818,21:26:03.825880,-1,-1.0
1,21:25:43.326818,21:26:04.436870,-1,-1.0
1,21:25:43.326818,21:26:05.306274,-1,-1.0
1,21:25:43.326818,21:26:09.613084,1,-1.0
1,21:25:43.326818,21:26:12.954976,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:26:19.020043,21:26:21.400580,1,-1.0
2,21:26:19.020043,21:26:21.719150,1,-1.0
2,21:26:19.020043,21:26:26.240108,-1,-1.0
2,21:26:19.020043,21:26:27.230882,-1,-1.0
2,21:26:19.020043,21:26:33.809405,-1,-1.0
2,21:26:19.020043,21:26:34.253480,-1,-1.0
2,21:26:19.020043,21:26:39.893754,-1,-1.0
2,21:26:19.020043,21:26:40.410968,-1,-1.0
2,21:26:19.020043,21:26:41.775740,-1,-1.0
2,21:26:19.020043,21:26:47.016528,-1,-1.0
