Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:39:15.648157,11:39:18.732041,1,-1.0
1,11:39:15.648157,11:39:19.439513,1,-1.0
1,11:39:15.648157,11:39:21.971851,1,-1.0
1,11:39:15.648157,11:39:22.605155,1,-1.0
1,11:39:15.648157,11:39:23.984260,1,-1.0
1,11:39:15.648157,11:39:24.700205,-1,-1.0
1,11:39:15.648157,11:39:25.084954,-1,-1.0
1,11:39:15.648157,11:39:25.382966,-1,-1.0
1,11:39:15.648157,11:39:25.894113,-1,-1.0
1,11:39:15.648157,11:39:26.443679,-1,-1.0
1,11:39:15.648157,11:39:26.854014,1,-1.0
1,11:39:15.648157,11:39:27.281602,1,-1.0
1,11:39:15.648157,11:39:27.972012,1,-1.0
1,11:39:15.648157,11:39:28.682432,1,-1.0
1,11:39:15.648157,11:39:29.057839,1,-1.0
1,11:39:15.648157,11:39:29.332879,1,-1.0
1,11:39:15.648157,11:39:29.585229,1,-1.0
1,11:39:15.648157,11:39:30.576960,1,-1.0
1,11:39:15.648157,11:39:31.784593,1,-1.0
1,11:39:15.648157,11:39:32.957740,1,-1.0
1,11:39:15.648157,11:39:33.355183,1,-1.0
1,11:39:15.648157,11:39:34.310441,1,-1.0
1,11:39:15.648157,11:39:34.625127,1,-1.0
1,11:39:15.648157,11:39:35.261764,1,-1.0
1,11:39:15.648157,11:39:35.680040,1,-1.0
1,11:39:15.648157,11:39:36.818183,1,-1.0
1,11:39:15.648157,11:39:37.169742,-1,-1.0
1,11:39:15.648157,11:39:37.661901,-1,-1.0
1,11:39:15.648157,11:39:38.021970,-1,-1.0
1,11:39:15.648157,11:39:38.623190,-1,-1.0
1,11:39:15.648157,11:39:39.130856,-1,-1.0
1,11:39:15.648157,11:39:39.737910,1,-1.0
1,11:39:15.648157,11:39:40.577587,1,-1.0
1,11:39:15.648157,11:39:41.534386,1,-1.0
1,11:39:15.648157,11:39:43.385860,-1,-1.0
1,11:39:15.648157,11:39:43.887279,1,-1.0
1,11:39:15.648157,11:39:44.514789,-1,-1.0
1,11:39:15.648157,11:39:45.096932,1,-1.0
1,11:39:15.648157,11:39:45.381881,1,-1.0
1,11:39:15.648157,11:39:46.076347,1,-1.0
1,11:39:15.648157,11:39:46.397241,1,-1.0
1,11:39:15.648157,11:39:46.687678,1,-1.0
1,11:39:15.648157,11:39:47.231291,1,-1.0
1,11:39:15.648157,11:39:49.091242,1,-1.0
1,11:39:15.648157,11:39:49.480545,1,-1.0
1,11:39:15.648157,11:39:49.857276,1,-1.0
1,11:39:15.648157,11:39:50.178257,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:39:53.341226,11:39:54.441585,-1,-1.0
2,11:39:53.341226,11:39:55.032249,-1,-1.0
2,11:39:53.341226,11:39:55.417310,-1,-1.0
2,11:39:53.341226,11:39:55.874499,-1,-1.0
2,11:39:53.341226,11:39:56.279975,-1,-1.0
2,11:39:53.341226,11:39:56.779517,-1,-1.0
2,11:39:53.341226,11:39:57.111700,-1,-1.0
2,11:39:53.341226,11:39:57.466186,-1,-1.0
2,11:39:53.341226,11:39:58.087084,1,-1.0
2,11:39:53.341226,11:39:58.363933,1,-1.0
2,11:39:53.341226,11:39:59.082876,1,-1.0
2,11:39:53.341226,11:39:59.355629,1,-1.0
2,11:39:53.341226,11:39:59.626756,1,-1.0
2,11:39:53.341226,11:40:00.133809,1,-1.0
2,11:39:53.341226,11:40:00.810225,1,-1.0
2,11:39:53.341226,11:40:02.359485,1,-1.0
2,11:39:53.341226,11:40:02.935861,1,-1.0
2,11:39:53.341226,11:40:04.171429,1,-1.0
2,11:39:53.341226,11:40:04.876605,1,-1.0
2,11:39:53.341226,11:40:05.211119,1,-1.0
2,11:39:53.341226,11:40:05.905701,-1,-1.0
2,11:39:53.341226,11:40:07.605175,-1,-1.0
2,11:39:53.341226,11:40:08.319877,1,-1.0
2,11:39:53.341226,11:40:08.567840,1,-1.0
2,11:39:53.341226,11:40:09.094210,1,-1.0
2,11:39:53.341226,11:40:09.520597,1,-1.0
2,11:39:53.341226,11:40:09.800691,1,-1.0
2,11:39:53.341226,11:40:10.342948,1,-1.0
2,11:39:53.341226,11:40:10.917698,1,-1.0
2,11:39:53.341226,11:40:11.521249,1,-1.0
2,11:39:53.341226,11:40:11.981666,1,-1.0
2,11:39:53.341226,11:40:12.193183,1,-1.0
2,11:39:53.341226,11:40:12.367450,1,-1.0
2,11:39:53.341226,11:40:13.105195,1,-1.0
2,11:39:53.341226,11:40:13.893293,1,-1.0
2,11:39:53.341226,11:40:14.392180,1,-1.0
2,11:39:53.341226,11:40:15.033456,1,-1.0
2,11:39:53.341226,11:40:15.657426,1,-1.0
