Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:25:47.638778,15:25:52.162208,1,-1.0
1,15:25:47.638778,15:25:55.854827,1,-1.0
1,15:25:47.638778,15:26:03.926751,1,-1.0
1,15:25:47.638778,15:26:07.388209,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:26:10.353751,15:26:11.903146,1,-1.0
2,15:26:10.353751,15:26:16.012055,-1,-1.0
2,15:26:10.353751,15:26:18.195534,1,-1.0
2,15:26:10.353751,15:26:18.849888,1,-1.0
2,15:26:10.353751,15:26:20.539817,1,-1.0
2,15:26:10.353751,15:26:28.964918,1,-1.0
2,15:26:10.353751,15:26:30.758203,-1,-1.0
2,15:26:10.353751,15:26:31.770410,-1,-1.0
