Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:40:14.678912,09:40:16.521196,2,-1.0
1,09:40:14.678912,09:40:16.791113,2,-1.0
1,09:40:14.678912,09:40:18.880783,2,-1.0
1,09:40:14.678912,09:40:19.497908,2,-1.0
1,09:40:14.678912,09:40:20.391535,2,-1.0
1,09:40:14.678912,09:40:21.400496,2,-1.0
1,09:40:14.678912,09:40:23.701905,3,-1.0
1,09:40:14.678912,09:40:24.549191,3,-1.0
1,09:40:14.678912,09:40:25.244561,3,-1.0
1,09:40:14.678912,09:40:25.750051,3,-1.0
1,09:40:14.678912,09:40:35.109970,2,-1.0
1,09:40:14.678912,09:40:40.058259,3,-1.0
1,09:40:14.678912,09:40:45.155042,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:40:49.484458,09:40:51.209576,2,-1.0
2,09:40:49.484458,09:40:52.064794,2,-1.0
2,09:40:49.484458,09:40:57.582038,3,-1.0
2,09:40:49.484458,09:41:02.888068,2,-1.0
2,09:40:49.484458,09:41:12.002845,3,-1.0
2,09:40:49.484458,09:41:14.702319,3,-1.0
2,09:40:49.484458,09:41:16.917948,3,-1.0
2,09:40:49.484458,09:41:17.402757,3,-1.0
