Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:32:41.599694,09:32:41.626716,1,-1.0
1,09:32:41.599694,09:32:45.656282,-1,-1.0
1,09:32:41.599694,09:32:46.157685,-1,-1.0
1,09:32:41.599694,09:32:47.289039,1,-1.0
1,09:32:41.599694,09:32:55.514614,1,-1.0
1,09:32:41.599694,09:32:56.726511,1,-1.0
1,09:32:41.599694,09:33:04.694610,-1,-1.0
1,09:32:41.599694,09:33:05.087658,-1,-1.0
1,09:32:41.599694,09:33:05.765170,-1,-1.0
1,09:32:41.599694,09:33:06.359054,1,-1.0
1,09:32:41.599694,09:33:16.019082,1,-1.0
1,09:32:41.599694,09:33:16.902060,1,-1.0
1,09:32:41.599694,09:33:17.153710,1,-1.0
1,09:32:41.599694,09:33:17.508146,1,-1.0
1,09:32:41.599694,09:33:17.950126,1,-1.0
1,09:32:41.599694,09:33:18.186040,1,-1.0
1,09:32:41.599694,09:33:18.524414,1,-1.0
1,09:32:41.599694,09:33:18.730612,1,-1.0
1,09:32:41.599694,09:33:19.233693,1,-1.0
1,09:32:41.599694,09:33:19.515610,1,-1.0
1,09:32:41.599694,09:33:20.678052,-1,-1.0
1,09:32:41.599694,09:33:21.648535,-1,-1.0
1,09:32:41.599694,09:33:22.117862,-1,-1.0
1,09:32:41.599694,09:33:22.484101,-1,-1.0
1,09:32:41.599694,09:33:23.042015,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:33:24.480190,09:33:27.273439,1,-1.0
2,09:33:24.480190,09:33:27.820769,1,-1.0
2,09:33:24.480190,09:33:28.258956,1,-1.0
2,09:33:24.480190,09:33:28.624026,1,-1.0
2,09:33:24.480190,09:33:28.917129,1,-1.0
2,09:33:24.480190,09:33:29.169513,1,-1.0
2,09:33:24.480190,09:33:29.712166,-1,-1.0
2,09:33:24.480190,09:33:30.084537,-1,-1.0
2,09:33:24.480190,09:33:30.624761,-1,-1.0
2,09:33:24.480190,09:33:31.039521,-1,-1.0
2,09:33:24.480190,09:33:31.578718,-1,-1.0
2,09:33:24.480190,09:33:32.623272,1,-1.0
2,09:33:24.480190,09:33:36.873389,1,-1.0
2,09:33:24.480190,09:33:38.545090,1,-1.0
2,09:33:24.480190,09:33:39.936015,1,-1.0
2,09:33:24.480190,09:33:42.650522,1,-1.0
2,09:33:24.480190,09:33:45.221629,1,-1.0
2,09:33:24.480190,09:33:47.061466,1,-1.0
2,09:33:24.480190,09:33:47.899887,-1,-1.0
2,09:33:24.480190,09:33:48.346710,-1,-1.0
2,09:33:24.480190,09:33:48.878507,-1,-1.0
2,09:33:24.480190,09:33:49.802155,-1,-1.0
2,09:33:24.480190,09:33:50.583107,1,-1.0
2,09:33:24.480190,09:33:50.785023,-1,-1.0
2,09:33:24.480190,09:33:51.718136,1,-1.0
2,09:33:24.480190,09:33:52.864834,-1,-1.0
2,09:33:24.480190,09:33:55.852596,1,-1.0
2,09:33:24.480190,09:33:58.136776,1,-1.0
2,09:33:24.480190,09:33:58.708547,1,-1.0
2,09:33:24.480190,09:33:59.312391,1,-1.0
