Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:01:38.566348,12:01:43.432934,-1,-1.0
1,12:01:38.566348,12:01:48.402021,1,-1.0
1,12:01:38.566348,12:01:51.572170,1,-1.0
1,12:01:38.566348,12:01:56.313174,1,-1.0
1,12:01:38.566348,12:02:00.911588,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:02:01.235129,12:02:06.316342,-1,-1.0
2,12:02:01.235129,12:02:07.777329,1,-1.0
2,12:02:01.235129,12:02:13.631411,-1,-1.0
2,12:02:01.235129,12:02:17.721871,1,-1.0
2,12:02:01.235129,12:02:22.563982,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:02:23.906992,12:02:31.359726,-1,-1.0
3,12:02:23.906992,12:02:31.835190,-1,-1.0
3,12:02:23.906992,12:02:35.717593,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:02:46.480456,12:02:55.199701,1,-1.0
4,12:02:46.480456,12:02:56.177822,-1,-1.0
4,12:02:46.480456,12:03:01.226328,-1,-1.0
4,12:02:46.480456,12:03:07.021456,1,-1.0
4,12:02:46.480456,12:03:07.718552,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:03:09.140039,12:03:12.725441,-1,-1.0
5,12:03:09.140039,12:03:16.433482,1,-1.0
5,12:03:09.140039,12:03:17.437046,-1,-1.0
5,12:03:09.140039,12:03:22.284830,1,-1.0
5,12:03:09.140039,12:03:22.885450,-1,-1.0
5,12:03:09.140039,12:03:23.217500,-1,-1.0
5,12:03:09.140039,12:03:23.691221,-1,-1.0
5,12:03:09.140039,12:03:23.940158,-1,-1.0
5,12:03:09.140039,12:03:29.723632,1,-1.0
5,12:03:09.140039,12:03:30.063935,1,-1.0
5,12:03:09.140039,12:03:30.380634,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:03:31.788866,12:03:35.414184,1,-1.0
6,12:03:31.788866,12:03:40.734597,-1,-1.0
6,12:03:31.788866,12:03:46.155678,-1,-1.0
