Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:40:58.056499,11:40:59.488513,1,-1.0
1,11:40:58.056499,11:41:00.055996,1,-1.0
1,11:40:58.056499,11:41:00.795583,1,-1.0
1,11:40:58.056499,11:41:01.236211,1,-1.0
1,11:40:58.056499,11:41:01.683618,1,-1.0
1,11:40:58.056499,11:41:02.197524,1,-1.0
1,11:40:58.056499,11:41:02.651698,1,-1.0
1,11:40:58.056499,11:41:03.262300,1,-1.0
1,11:40:58.056499,11:41:03.992183,1,-1.0
1,11:40:58.056499,11:41:04.853545,1,-1.0
1,11:40:58.056499,11:41:05.427885,-1,-1.0
1,11:40:58.056499,11:41:05.992915,-1,-1.0
1,11:40:58.056499,11:41:06.846243,-1,-1.0
1,11:40:58.056499,11:41:07.391320,-1,-1.0
1,11:40:58.056499,11:41:07.942515,-1,-1.0
1,11:40:58.056499,11:41:08.443106,-1,-1.0
1,11:40:58.056499,11:41:09.117727,-1,-1.0
1,11:40:58.056499,11:41:09.428145,1,-1.0
1,11:40:58.056499,11:41:10.188016,1,-1.0
1,11:40:58.056499,11:41:10.601807,1,-1.0
1,11:40:58.056499,11:41:10.910130,1,-1.0
1,11:40:58.056499,11:41:11.490620,1,-1.0
1,11:40:58.056499,11:41:11.758102,1,-1.0
1,11:40:58.056499,11:41:12.010836,1,-1.0
1,11:40:58.056499,11:41:12.230169,1,-1.0
1,11:40:58.056499,11:41:12.460829,1,-1.0
1,11:40:58.056499,11:41:12.712567,1,-1.0
1,11:40:58.056499,11:41:12.919575,1,-1.0
1,11:40:58.056499,11:41:13.126623,1,-1.0
1,11:40:58.056499,11:41:13.304153,1,-1.0
1,11:40:58.056499,11:41:13.491773,1,-1.0
1,11:40:58.056499,11:41:13.710560,1,-1.0
1,11:40:58.056499,11:41:14.324668,1,-1.0
1,11:40:58.056499,11:41:14.553962,1,-1.0
1,11:40:58.056499,11:41:14.761762,1,-1.0
1,11:40:58.056499,11:41:14.999815,1,-1.0
1,11:40:58.056499,11:41:15.220733,1,-1.0
1,11:40:58.056499,11:41:15.419459,1,-1.0
1,11:40:58.056499,11:41:15.641158,1,-1.0
1,11:40:58.056499,11:41:16.014983,-1,-1.0
1,11:40:58.056499,11:41:16.471052,-1,-1.0
1,11:40:58.056499,11:41:17.680452,-1,-1.0
1,11:40:58.056499,11:41:18.188996,-1,-1.0
1,11:40:58.056499,11:41:18.626476,-1,-1.0
1,11:40:58.056499,11:41:19.039058,-1,-1.0
1,11:40:58.056499,11:41:19.763801,1,-1.0
1,11:40:58.056499,11:41:20.217947,1,-1.0
1,11:40:58.056499,11:41:20.495388,1,-1.0
1,11:40:58.056499,11:41:20.745644,1,-1.0
1,11:40:58.056499,11:41:20.994663,1,-1.0
1,11:40:58.056499,11:41:21.235445,1,-1.0
1,11:40:58.056499,11:41:21.458971,1,-1.0
1,11:40:58.056499,11:41:23.528209,-1,-1.0
1,11:40:58.056499,11:41:24.654165,1,-1.0
1,11:40:58.056499,11:41:24.955400,1,-1.0
1,11:40:58.056499,11:41:25.320601,1,-1.0
1,11:40:58.056499,11:41:25.589197,1,-1.0
1,11:40:58.056499,11:41:25.805895,1,-1.0
1,11:40:58.056499,11:41:26.937590,1,-1.0
1,11:40:58.056499,11:41:27.625911,1,-1.0
1,11:40:58.056499,11:41:29.416426,1,-1.0
1,11:40:58.056499,11:41:30.065071,1,-1.0
1,11:40:58.056499,11:41:30.473829,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:41:33.891154,11:41:36.029796,-1,-1.0
2,11:41:33.891154,11:41:36.411054,-1,-1.0
2,11:41:33.891154,11:41:36.934233,-1,-1.0
2,11:41:33.891154,11:41:37.253179,-1,-1.0
2,11:41:33.891154,11:41:37.907528,-1,-1.0
2,11:41:33.891154,11:41:38.663260,1,-1.0
2,11:41:33.891154,11:41:38.997130,1,-1.0
2,11:41:33.891154,11:41:39.193817,1,-1.0
2,11:41:33.891154,11:41:39.386667,1,-1.0
2,11:41:33.891154,11:41:39.616781,1,-1.0
2,11:41:33.891154,11:41:40.426520,1,-1.0
2,11:41:33.891154,11:41:42.903299,1,-1.0
2,11:41:33.891154,11:41:43.225389,1,-1.0
2,11:41:33.891154,11:41:44.957387,1,-1.0
2,11:41:33.891154,11:41:46.055194,-1,-1.0
2,11:41:33.891154,11:41:46.852712,1,-1.0
2,11:41:33.891154,11:41:47.466016,1,-1.0
2,11:41:33.891154,11:41:47.851526,1,-1.0
2,11:41:33.891154,11:41:48.258869,1,-1.0
2,11:41:33.891154,11:41:50.743630,1,-1.0
2,11:41:33.891154,11:41:51.261400,1,-1.0
2,11:41:33.891154,11:41:51.481858,1,-1.0
2,11:41:33.891154,11:41:51.722835,1,-1.0
2,11:41:33.891154,11:41:51.941587,1,-1.0
