Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:37:26.012233,11:37:30.221394,1,-1.0
1,11:37:26.012233,11:37:31.079758,1,-1.0
1,11:37:26.012233,11:37:31.385409,1,-1.0
1,11:37:26.012233,11:37:31.833829,1,-1.0
1,11:37:26.012233,11:37:32.689029,1,-1.0
1,11:37:26.012233,11:37:33.836103,-1,-1.0
1,11:37:26.012233,11:37:34.241071,-1,-1.0
1,11:37:26.012233,11:37:34.784004,-1,-1.0
1,11:37:26.012233,11:37:35.231584,-1,-1.0
1,11:37:26.012233,11:37:35.778579,-1,-1.0
1,11:37:26.012233,11:37:36.161724,1,-1.0
1,11:37:26.012233,11:37:40.135827,1,-1.0
1,11:37:26.012233,11:37:42.317904,1,-1.0
1,11:37:26.012233,11:37:43.552064,1,-1.0
1,11:37:26.012233,11:37:43.923806,1,-1.0
1,11:37:26.012233,11:37:44.164318,1,-1.0
1,11:37:26.012233,11:37:44.404780,1,-1.0
1,11:37:26.012233,11:37:44.771480,1,-1.0
1,11:37:26.012233,11:37:44.991861,1,-1.0
1,11:37:26.012233,11:37:45.343338,-1,-1.0
1,11:37:26.012233,11:37:46.116654,-1,-1.0
1,11:37:26.012233,11:37:46.816515,-1,-1.0
1,11:37:26.012233,11:37:47.423199,-1,-1.0
1,11:37:26.012233,11:37:47.859566,-1,-1.0
1,11:37:26.012233,11:37:49.920598,1,-1.0
1,11:37:26.012233,11:37:50.790579,1,-1.0
1,11:37:26.012233,11:37:52.460751,-1,-1.0
1,11:37:26.012233,11:37:53.185305,1,-1.0
1,11:37:26.012233,11:37:54.239007,1,-1.0
1,11:37:26.012233,11:37:54.873206,1,-1.0
1,11:37:26.012233,11:37:56.601868,1,-1.0
1,11:37:26.012233,11:37:59.501720,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:38:02.743274,11:38:03.685692,-1,-1.0
2,11:38:02.743274,11:38:04.386816,-1,-1.0
2,11:38:02.743274,11:38:05.007704,1,-1.0
2,11:38:02.743274,11:38:06.264314,1,-1.0
2,11:38:02.743274,11:38:08.493419,1,-1.0
2,11:38:02.743274,11:38:08.966549,1,-1.0
2,11:38:02.743274,11:38:09.264568,1,-1.0
2,11:38:02.743274,11:38:09.541051,1,-1.0
2,11:38:02.743274,11:38:09.846529,1,-1.0
2,11:38:02.743274,11:38:10.075353,1,-1.0
2,11:38:02.743274,11:38:10.326341,1,-1.0
2,11:38:02.743274,11:38:10.894905,1,-1.0
2,11:38:02.743274,11:38:11.176971,1,-1.0
2,11:38:02.743274,11:38:11.416982,1,-1.0
2,11:38:02.743274,11:38:11.604514,1,-1.0
2,11:38:02.743274,11:38:11.857627,1,-1.0
2,11:38:02.743274,11:38:12.034687,1,-1.0
2,11:38:02.743274,11:38:12.337870,1,-1.0
2,11:38:02.743274,11:38:12.555522,1,-1.0
2,11:38:02.743274,11:38:13.002918,1,-1.0
2,11:38:02.743274,11:38:13.398779,-1,-1.0
2,11:38:02.743274,11:38:13.949718,-1,-1.0
2,11:38:02.743274,11:38:14.345839,-1,-1.0
2,11:38:02.743274,11:38:14.711305,-1,-1.0
2,11:38:02.743274,11:38:15.198896,-1,-1.0
2,11:38:02.743274,11:38:15.826270,1,-1.0
2,11:38:02.743274,11:38:16.757708,1,-1.0
2,11:38:02.743274,11:38:19.080409,1,-1.0
2,11:38:02.743274,11:38:19.653069,1,-1.0
2,11:38:02.743274,11:38:21.382947,1,-1.0
2,11:38:02.743274,11:38:22.698234,1,-1.0
2,11:38:02.743274,11:38:23.110335,1,-1.0
2,11:38:02.743274,11:38:23.362918,1,-1.0
2,11:38:02.743274,11:38:23.561711,1,-1.0
2,11:38:02.743274,11:38:23.782928,1,-1.0
2,11:38:02.743274,11:38:23.992968,1,-1.0
2,11:38:02.743274,11:38:24.224327,1,-1.0
2,11:38:02.743274,11:38:24.425603,1,-1.0
2,11:38:02.743274,11:38:24.633139,1,-1.0
2,11:38:02.743274,11:38:24.860444,1,-1.0
2,11:38:02.743274,11:38:25.060802,1,-1.0
2,11:38:02.743274,11:38:25.249398,1,-1.0
2,11:38:02.743274,11:38:25.436486,1,-1.0
2,11:38:02.743274,11:38:25.633577,1,-1.0
2,11:38:02.743274,11:38:25.812120,1,-1.0
2,11:38:02.743274,11:38:25.993953,1,-1.0
2,11:38:02.743274,11:38:26.214089,1,-1.0
2,11:38:02.743274,11:38:26.431854,1,-1.0
2,11:38:02.743274,11:38:26.730186,1,-1.0
