Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:32:34.939170,16:32:50.059536,3,-1.0
1,16:32:34.939170,16:32:57.100899,2,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:32:57.726037,16:32:59.261117,3,-1.0
2,16:32:57.726037,16:33:03.257369,2,-1.0
2,16:32:57.726037,16:33:05.097158,3,-1.0
2,16:32:57.726037,16:33:09.296766,1,-1.0
2,16:32:57.726037,16:33:11.747673,2,-1.0
2,16:32:57.726037,16:33:13.583549,-1,-1.0
2,16:32:57.726037,16:33:16.291976,1,-1.0
2,16:32:57.726037,16:33:19.594923,2,-1.0
