Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:23:45.402945,15:23:56.130340,1,-1.0
1,15:23:45.402945,15:24:01.076660,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:24:08.213057,15:24:09.902662,1,-1.0
2,15:24:08.213057,15:24:14.489112,-1,-1.0
2,15:24:08.213057,15:24:16.639796,1,-1.0
2,15:24:08.213057,15:24:17.625979,1,-1.0
2,15:24:08.213057,15:24:18.028791,1,-1.0
2,15:24:08.213057,15:24:18.255076,1,-1.0
2,15:24:08.213057,15:24:18.642351,1,-1.0
2,15:24:08.213057,15:24:18.964535,1,-1.0
2,15:24:08.213057,15:24:19.975193,1,-1.0
2,15:24:08.213057,15:24:21.377148,1,-1.0
2,15:24:08.213057,15:24:25.921141,-1,-1.0
2,15:24:08.213057,15:24:26.576424,1,-1.0
