Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:37:45.442978,09:37:51.373128,2,-1.0
1,09:37:45.442978,09:37:53.551125,2,-1.0
1,09:37:45.442978,09:37:53.988219,2,-1.0
1,09:37:45.442978,09:37:54.323015,2,-1.0
1,09:37:45.442978,09:37:54.794115,2,-1.0
1,09:37:45.442978,09:37:55.311649,2,-1.0
1,09:37:45.442978,09:37:56.231875,3,-1.0
1,09:37:45.442978,09:37:56.896065,3,-1.0
1,09:37:45.442978,09:37:57.352440,3,-1.0
1,09:37:45.442978,09:37:57.871242,3,-1.0
1,09:37:45.442978,09:38:03.893851,3,-1.0
1,09:37:45.442978,09:38:06.284971,2,-1.0
1,09:37:45.442978,09:38:06.968391,2,-1.0
1,09:37:45.442978,09:38:11.437635,2,-1.0
1,09:37:45.442978,09:38:13.458568,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:38:22.398748,09:38:23.346008,2,-1.0
2,09:38:22.398748,09:38:31.156421,2,-1.0
2,09:38:22.398748,09:38:32.323056,3,-1.0
2,09:38:22.398748,09:38:40.764550,3,-1.0
