Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,08:43:04.818994,08:43:16.193476,1,-1.0
1,08:43:04.818994,08:43:17.680106,-1,-1.0
1,08:43:04.818994,08:43:18.283577,-1,-1.0
1,08:43:04.818994,08:43:21.453495,1,-1.0
1,08:43:04.818994,08:43:28.140940,-1,-1.0
1,08:43:04.818994,08:43:29.344586,1,-1.0
1,08:43:04.818994,08:43:32.984171,-1,-1.0
1,08:43:04.818994,08:43:33.581207,-1,-1.0
1,08:43:04.818994,08:43:35.123776,-1,-1.0
1,08:43:04.818994,08:43:35.701896,-1,-1.0
1,08:43:04.818994,08:43:36.721321,1,-1.0
1,08:43:04.818994,08:43:37.172272,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,08:43:43.077610,08:43:44.028172,-1,-1.0
2,08:43:43.077610,08:43:44.367030,-1,-1.0
2,08:43:43.077610,08:43:44.943897,1,-1.0
2,08:43:43.077610,08:43:45.407298,-1,-1.0
2,08:43:43.077610,08:43:45.828539,-1,-1.0
2,08:43:43.077610,08:43:46.305130,-1,-1.0
2,08:43:43.077610,08:43:51.420868,-1,-1.0
2,08:43:43.077610,08:43:52.832939,-1,-1.0
2,08:43:43.077610,08:43:53.120286,-1,-1.0
2,08:43:43.077610,08:43:53.666933,-1,-1.0
2,08:43:43.077610,08:43:55.279882,1,-1.0
2,08:43:43.077610,08:44:00.634318,-1,-1.0
2,08:43:43.077610,08:44:01.227494,-1,-1.0
2,08:43:43.077610,08:44:01.764632,-1,-1.0
2,08:43:43.077610,08:44:02.544582,1,-1.0
2,08:43:43.077610,08:44:07.088849,1,-1.0
2,08:43:43.077610,08:44:07.543065,1,-1.0
2,08:43:43.077610,08:44:09.049754,-1,-1.0
2,08:43:43.077610,08:44:09.542071,-1,-1.0
2,08:43:43.077610,08:44:10.027673,-1,-1.0
2,08:43:43.077610,08:44:10.844861,-1,-1.0
2,08:43:43.077610,08:44:18.983589,-1,-1.0
2,08:43:43.077610,08:44:24.972959,-1,-1.0
