Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:22:39.332042,21:23:08.337233,1,-1.0
1,21:22:39.332042,21:23:10.644749,-1,-1.0
1,21:22:39.332042,21:23:11.901997,-1,-1.0
1,21:22:39.332042,21:23:19.539912,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:23:21.548212,21:23:26.268357,1,-1.0
2,21:23:21.548212,21:23:29.864099,-1,-1.0
2,21:23:21.548212,21:23:30.587800,-1,-1.0
2,21:23:21.548212,21:23:37.288356,1,-1.0
2,21:23:21.548212,21:23:43.901216,1,-1.0
2,21:23:21.548212,21:23:44.316041,1,-1.0
2,21:23:21.548212,21:23:44.678108,1,-1.0
2,21:23:21.548212,21:23:45.052887,1,-1.0
2,21:23:21.548212,21:23:45.350864,1,-1.0
2,21:23:21.548212,21:23:45.600575,1,-1.0
2,21:23:21.548212,21:23:45.834262,1,-1.0
2,21:23:21.548212,21:23:46.048964,1,-1.0
2,21:23:21.548212,21:23:46.271396,1,-1.0
2,21:23:21.548212,21:23:46.493904,1,-1.0
2,21:23:21.548212,21:23:47.068850,1,-1.0
2,21:23:21.548212,21:23:47.390688,1,-1.0
2,21:23:21.548212,21:23:47.626254,1,-1.0
2,21:23:21.548212,21:23:47.910980,1,-1.0
2,21:23:21.548212,21:23:48.177748,1,-1.0
2,21:23:21.548212,21:23:48.441315,1,-1.0
2,21:23:21.548212,21:23:48.705256,1,-1.0
2,21:23:21.548212,21:23:48.938757,1,-1.0
2,21:23:21.548212,21:23:49.206650,1,-1.0
2,21:23:21.548212,21:23:49.452009,1,-1.0
2,21:23:21.548212,21:23:49.728651,1,-1.0
2,21:23:21.548212,21:23:49.963397,1,-1.0
2,21:23:21.548212,21:23:50.227211,1,-1.0
2,21:23:21.548212,21:23:50.494982,1,-1.0
2,21:23:21.548212,21:23:50.748507,1,-1.0
2,21:23:21.548212,21:23:51.012766,1,-1.0
2,21:23:21.548212,21:23:51.304346,1,-1.0
