Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:19:16.200822,21:19:22.252478,1,-1.0
1,21:19:16.200822,21:19:30.838234,-1,-1.0
1,21:19:16.200822,21:19:33.033163,-1,-1.0
1,21:19:16.200822,21:19:33.581764,-1,-1.0
1,21:19:16.200822,21:19:39.926654,1,-1.0
1,21:19:16.200822,21:19:42.412060,1,-1.0
1,21:19:16.200822,21:19:44.242866,-1,-1.0
1,21:19:16.200822,21:19:46.047886,-1,-1.0
1,21:19:16.200822,21:19:51.012284,-1,-1.0
1,21:19:16.200822,21:19:51.418682,-1,-1.0
1,21:19:16.200822,21:19:51.681974,-1,-1.0
1,21:19:16.200822,21:19:52.289699,-1,-1.0
1,21:19:16.200822,21:19:52.843032,-1,-1.0
1,21:19:16.200822,21:19:56.386102,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:19:58.391507,21:20:01.972882,1,-1.0
2,21:19:58.391507,21:20:02.368617,1,-1.0
2,21:19:58.391507,21:20:02.710795,1,-1.0
2,21:19:58.391507,21:20:11.870897,-1,-1.0
2,21:19:58.391507,21:20:12.338507,-1,-1.0
2,21:19:58.391507,21:20:23.948094,1,-1.0
2,21:19:58.391507,21:20:33.697402,1,-1.0
