Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:52:28.691870,19:52:31.619674,2,-1.0
1,19:52:28.691870,19:52:35.447723,2,-1.0
1,19:52:28.691870,19:52:39.059050,2,-1.0
1,19:52:28.691870,19:52:40.491403,3,-1.0
1,19:52:28.691870,19:52:48.711123,3,-1.0
1,19:52:28.691870,19:52:55.886976,3,-1.0
1,19:52:28.691870,19:53:00.095664,2,-1.0
1,19:52:28.691870,19:53:10.347266,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:53:23.761406,19:53:34.265783,2,-1.0
2,19:53:23.761406,19:53:44.167936,3,-1.0
2,19:53:23.761406,19:53:56.589042,3,-1.0
2,19:53:23.761406,19:54:00.021687,3,-1.0
2,19:53:23.761406,19:54:01.627468,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,19:54:06.758851,19:54:14.209067,2,-1.0
3,19:54:06.758851,19:54:25.791386,2,-1.0
3,19:54:06.758851,19:54:30.768420,2,-1.0
3,19:54:06.758851,19:54:39.096279,3,-1.0
3,19:54:06.758851,19:54:51.290054,2,-1.0
3,19:54:06.758851,19:55:00.971309,2,-1.0
3,19:54:06.758851,19:55:04.747994,3,-1.0
3,19:54:06.758851,19:55:06.552120,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,19:55:09.165504,19:55:11.296912,3,-1.0
4,19:55:09.165504,19:55:12.278244,2,-1.0
4,19:55:09.165504,19:55:15.850443,2,-1.0
4,19:55:09.165504,19:55:18.674012,2,-1.0
4,19:55:09.165504,19:55:23.984160,2,-1.0
4,19:55:09.165504,19:55:29.210468,3,-1.0
4,19:55:09.165504,19:55:32.740741,3,-1.0
4,19:55:09.165504,19:55:39.595631,3,-1.0
4,19:55:09.165504,19:55:42.754469,3,-1.0
4,19:55:09.165504,19:55:43.736146,2,-1.0
4,19:55:09.165504,19:55:50.406505,2,-1.0
4,19:55:09.165504,19:55:58.192895,3,-1.0
4,19:55:09.165504,19:56:10.735810,3,-1.0
