Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:56:27.225623,10:56:38.560941,1,-1.0
1,10:56:27.225623,10:56:39.320889,1,-1.0
1,10:56:27.225623,10:57:15.182984,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:57:28.424901,10:57:56.234815,1,-1.0
2,10:57:28.424901,10:57:57.115891,1,-1.0
2,10:57:28.424901,10:58:09.642848,-1,-1.0
2,10:57:28.424901,10:58:21.290783,-1,-1.0
2,10:57:28.424901,10:58:22.274823,-1,-1.0
2,10:57:28.424901,10:58:22.509955,-1,-1.0
2,10:57:28.424901,10:58:22.988241,-1,-1.0
2,10:57:28.424901,10:58:23.458288,-1,-1.0
2,10:57:28.424901,10:58:25.590707,-1,-1.0
