Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:33:24.737243,19:33:26.757439,2,-1.0
1,19:33:24.737243,19:33:27.054553,2,-1.0
1,19:33:24.737243,19:33:27.270854,2,-1.0
1,19:33:24.737243,19:33:27.452306,2,-1.0
1,19:33:24.737243,19:33:27.620456,2,-1.0
1,19:33:24.737243,19:33:27.791583,2,-1.0
1,19:33:24.737243,19:33:27.973959,2,-1.0
1,19:33:24.737243,19:33:28.143530,2,-1.0
1,19:33:24.737243,19:33:28.336518,2,-1.0
1,19:33:24.737243,19:33:28.507756,2,-1.0
1,19:33:24.737243,19:33:28.709022,2,-1.0
1,19:33:24.737243,19:33:28.890758,2,-1.0
1,19:33:24.737243,19:33:29.068234,2,-1.0
1,19:33:24.737243,19:33:29.241802,2,-1.0
1,19:33:24.737243,19:33:29.423875,2,-1.0
1,19:33:24.737243,19:33:29.595173,2,-1.0
1,19:33:24.737243,19:33:29.770347,2,-1.0
1,19:33:24.737243,19:33:29.950787,2,-1.0
1,19:33:24.737243,19:33:30.130276,2,-1.0
1,19:33:24.737243,19:33:30.292077,2,-1.0
1,19:33:24.737243,19:33:30.618692,3,-1.0
1,19:33:24.737243,19:33:30.931850,3,-1.0
1,19:33:24.737243,19:33:31.212041,3,-1.0
1,19:33:24.737243,19:33:31.727794,3,-1.0
1,19:33:24.737243,19:33:32.667897,3,-1.0
1,19:33:24.737243,19:33:32.967320,3,-1.0
1,19:33:24.737243,19:33:33.195527,3,-1.0
1,19:33:24.737243,19:33:33.393610,3,-1.0
1,19:33:24.737243,19:33:33.571381,3,-1.0
1,19:33:24.737243,19:33:33.722840,3,-1.0
1,19:33:24.737243,19:33:33.910760,3,-1.0
1,19:33:24.737243,19:33:34.077029,3,-1.0
1,19:33:24.737243,19:33:34.305839,3,-1.0
1,19:33:24.737243,19:33:34.544416,3,-1.0
1,19:33:24.737243,19:33:34.750132,3,-1.0
1,19:33:24.737243,19:33:34.960885,3,-1.0
1,19:33:24.737243,19:33:35.152207,3,-1.0
1,19:33:24.737243,19:33:35.380136,3,-1.0
1,19:33:24.737243,19:33:35.668963,3,-1.0
1,19:33:24.737243,19:33:35.857766,3,-1.0
1,19:33:24.737243,19:33:36.137146,3,-1.0
1,19:33:24.737243,19:33:47.771668,3,-1.0
1,19:33:24.737243,19:33:47.952692,3,-1.0
1,19:33:24.737243,19:33:48.144595,3,-1.0
