Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:13:16.130135,22:13:19.185517,1,-1.0
1,22:13:16.130135,22:13:20.321149,1,-1.0
1,22:13:16.130135,22:13:21.346496,1,-1.0
1,22:13:16.130135,22:13:22.246406,1,-1.0
1,22:13:16.130135,22:13:23.936504,1,-1.0
1,22:13:16.130135,22:13:26.059418,-1,-1.0
1,22:13:16.130135,22:13:26.979471,-1,-1.0
1,22:13:16.130135,22:13:27.563749,-1,-1.0
1,22:13:16.130135,22:13:28.011219,-1,-1.0
1,22:13:16.130135,22:13:28.597562,-1,-1.0
1,22:13:16.130135,22:13:29.151220,1,-1.0
1,22:13:16.130135,22:13:30.039148,1,-1.0
1,22:13:16.130135,22:13:31.298600,1,-1.0
1,22:13:16.130135,22:13:32.546596,1,-1.0
1,22:13:16.130135,22:13:33.658874,1,-1.0
1,22:13:16.130135,22:13:34.561043,1,-1.0
1,22:13:16.130135,22:13:35.039022,1,-1.0
1,22:13:16.130135,22:13:36.439181,-1,-1.0
1,22:13:16.130135,22:13:37.882205,-1,-1.0
1,22:13:16.130135,22:13:38.266107,-1,-1.0
1,22:13:16.130135,22:13:38.977268,1,-1.0
1,22:13:16.130135,22:13:39.671208,1,-1.0
1,22:13:16.130135,22:13:40.412336,1,-1.0
1,22:13:16.130135,22:13:41.192792,1,-1.0
1,22:13:16.130135,22:13:42.679603,1,-1.0
1,22:13:16.130135,22:13:44.097135,-1,-1.0
1,22:13:16.130135,22:13:44.525295,-1,-1.0
1,22:13:16.130135,22:13:45.080914,-1,-1.0
1,22:13:16.130135,22:13:45.750164,1,-1.0
1,22:13:16.130135,22:13:46.604350,1,-1.0
1,22:13:16.130135,22:13:47.076688,1,-1.0
1,22:13:16.130135,22:13:48.893763,1,-1.0
1,22:13:16.130135,22:13:49.720165,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,22:13:53.197568,22:13:54.895250,1,-1.0
2,22:13:53.197568,22:13:55.691071,-1,-1.0
2,22:13:53.197568,22:13:56.431368,-1,-1.0
2,22:13:53.197568,22:13:57.004891,-1,-1.0
2,22:13:53.197568,22:13:57.794587,1,-1.0
2,22:13:53.197568,22:13:59.362191,1,-1.0
2,22:13:53.197568,22:13:59.841891,1,-1.0
2,22:13:53.197568,22:14:01.218997,1,-1.0
2,22:13:53.197568,22:14:01.814903,1,-1.0
2,22:13:53.197568,22:14:05.525977,1,-1.0
2,22:13:53.197568,22:14:05.959675,1,-1.0
2,22:13:53.197568,22:14:06.399860,1,-1.0
2,22:13:53.197568,22:14:07.160043,-1,-1.0
2,22:13:53.197568,22:14:07.565978,-1,-1.0
2,22:13:53.197568,22:14:08.162436,1,-1.0
2,22:13:53.197568,22:14:09.536918,1,-1.0
2,22:13:53.197568,22:14:10.030938,1,-1.0
2,22:13:53.197568,22:14:10.978846,1,-1.0
2,22:13:53.197568,22:14:13.484575,1,-1.0
