Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:49:16.592862,11:49:40.983585,1,-1.0
1,11:49:16.592862,11:49:41.422998,-1,-1.0
1,11:49:16.592862,11:49:42.019977,1,-1.0
1,11:49:16.592862,11:49:42.309233,-1,-1.0
1,11:49:16.592862,11:49:53.167602,1,-1.0
1,11:49:16.592862,11:49:53.351069,1,-1.0
1,11:49:16.592862,11:49:53.501111,1,-1.0
1,11:49:16.592862,11:49:53.688265,1,-1.0
1,11:49:16.592862,11:49:53.913062,-1,-1.0
1,11:49:16.592862,11:49:54.171711,-1,-1.0
1,11:49:16.592862,11:49:54.329951,-1,-1.0
1,11:49:16.592862,11:49:54.554545,-1,-1.0
1,11:49:16.592862,11:49:54.691350,-1,-1.0
1,11:49:16.592862,11:49:55.176535,1,-1.0
