Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:24:05.106854,19:24:14.084129,2,-1.0
1,19:24:05.106854,19:24:19.200540,3,-1.0
1,19:24:05.106854,19:24:25.223582,2,-1.0
1,19:24:05.106854,19:24:32.112504,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:24:40.855345,19:24:42.443278,2,-1.0
2,19:24:40.855345,19:24:59.516126,3,-1.0
2,19:24:40.855345,19:25:03.767287,2,-1.0
2,19:24:40.855345,19:25:09.808754,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,19:25:19.574492,19:25:20.800999,2,-1.0
3,19:25:19.574492,19:25:26.436752,3,-1.0
3,19:25:19.574492,19:25:35.473664,2,-1.0
3,19:25:19.574492,19:25:43.376864,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,19:25:53.177448,19:25:54.727141,2,-1.0
4,19:25:53.177448,19:25:59.694511,3,-1.0
4,19:25:53.177448,19:26:05.831844,2,-1.0
4,19:25:53.177448,19:26:13.047116,2,-1.0
4,19:25:53.177448,19:26:19.943203,2,-1.0
4,19:25:53.177448,19:26:26.139778,3,-1.0
4,19:25:53.177448,19:26:34.822953,2,-1.0
