Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:50:05.548410,19:50:07.035622,2,-1.0
1,19:50:05.548410,19:50:07.201315,2,-1.0
1,19:50:05.548410,19:50:07.370149,2,-1.0
1,19:50:05.548410,19:50:07.558246,2,-1.0
1,19:50:05.548410,19:50:07.710172,2,-1.0
1,19:50:05.548410,19:50:07.886537,2,-1.0
1,19:50:05.548410,19:50:08.062910,2,-1.0
1,19:50:05.548410,19:50:08.228093,2,-1.0
1,19:50:05.548410,19:50:08.396705,2,-1.0
1,19:50:05.548410,19:50:08.569639,2,-1.0
1,19:50:05.548410,19:50:08.754197,2,-1.0
1,19:50:05.548410,19:50:08.932845,2,-1.0
1,19:50:05.548410,19:50:09.112067,2,-1.0
1,19:50:05.548410,19:50:09.302080,2,-1.0
1,19:50:05.548410,19:50:09.473313,2,-1.0
1,19:50:05.548410,19:50:09.637141,2,-1.0
1,19:50:05.548410,19:50:09.818596,2,-1.0
1,19:50:05.548410,19:50:09.984340,2,-1.0
1,19:50:05.548410,19:50:10.163074,2,-1.0
1,19:50:05.548410,19:50:10.320700,2,-1.0
1,19:50:05.548410,19:50:10.491813,2,-1.0
1,19:50:05.548410,19:50:10.654734,2,-1.0
1,19:50:05.548410,19:50:10.821422,2,-1.0
1,19:50:05.548410,19:50:10.968133,2,-1.0
1,19:50:05.548410,19:50:11.128937,2,-1.0
1,19:50:05.548410,19:50:11.294027,2,-1.0
1,19:50:05.548410,19:50:11.440753,2,-1.0
1,19:50:05.548410,19:50:11.607595,2,-1.0
1,19:50:05.548410,19:50:11.751595,2,-1.0
1,19:50:05.548410,19:50:11.947609,2,-1.0
1,19:50:05.548410,19:50:12.159609,2,-1.0
1,19:50:05.548410,19:50:12.335594,2,-1.0
1,19:50:05.548410,19:50:12.508595,2,-1.0
1,19:50:05.548410,19:50:13.718756,3,-1.0
1,19:50:05.548410,19:50:13.902778,3,-1.0
1,19:50:05.548410,19:50:14.303442,3,-1.0
1,19:50:05.548410,19:50:14.491713,3,-1.0
1,19:50:05.548410,19:50:14.681426,3,-1.0
1,19:50:05.548410,19:50:14.869043,3,-1.0
1,19:50:05.548410,19:50:15.066630,3,-1.0
1,19:50:05.548410,19:50:15.287544,3,-1.0
1,19:50:05.548410,19:50:15.454638,3,-1.0
1,19:50:05.548410,19:50:15.641752,3,-1.0
1,19:50:05.548410,19:50:15.914507,3,-1.0
1,19:50:05.548410,19:50:16.112046,3,-1.0
1,19:50:05.548410,19:50:16.340339,3,-1.0
1,19:50:05.548410,19:50:16.603124,3,-1.0
1,19:50:05.548410,19:50:16.836837,3,-1.0
1,19:50:05.548410,19:50:17.043616,3,-1.0
1,19:50:05.548410,19:50:17.242476,3,-1.0
1,19:50:05.548410,19:50:17.488011,3,-1.0
1,19:50:05.548410,19:50:17.690410,3,-1.0
1,19:50:05.548410,19:50:17.918476,3,-1.0
1,19:50:05.548410,19:50:18.157941,3,-1.0
1,19:50:05.548410,19:50:18.352761,3,-1.0
1,19:50:05.548410,19:50:18.582662,3,-1.0
1,19:50:05.548410,19:50:18.835648,3,-1.0
1,19:50:05.548410,19:50:19.064017,3,-1.0
1,19:50:05.548410,19:50:19.294451,3,-1.0
1,19:50:05.548410,19:50:19.525415,3,-1.0
1,19:50:05.548410,19:50:19.744290,3,-1.0
1,19:50:05.548410,19:50:19.952618,3,-1.0
1,19:50:05.548410,19:50:20.159274,3,-1.0
1,19:50:05.548410,19:50:20.378596,3,-1.0
1,19:50:05.548410,19:50:20.638482,3,-1.0
1,19:50:05.548410,19:50:20.858842,3,-1.0
1,19:50:05.548410,19:50:21.108331,3,-1.0
1,19:50:05.548410,19:50:21.318101,3,-1.0
1,19:50:05.548410,19:50:21.520136,3,-1.0
1,19:50:05.548410,19:50:21.712238,3,-1.0
1,19:50:05.548410,19:50:21.913015,3,-1.0
1,19:50:05.548410,19:50:22.153078,3,-1.0
1,19:50:05.548410,19:50:22.659473,3,-1.0
1,19:50:05.548410,19:50:22.913207,3,-1.0
1,19:50:05.548410,19:50:23.126492,3,-1.0
1,19:50:05.548410,19:50:23.334532,3,-1.0
1,19:50:05.548410,19:50:23.568592,3,-1.0
1,19:50:05.548410,19:50:23.819590,3,-1.0
1,19:50:05.548410,19:50:24.054216,3,-1.0
1,19:50:05.548410,19:50:24.304775,3,-1.0
1,19:50:05.548410,19:50:24.575584,3,-1.0
1,19:50:05.548410,19:50:24.855401,3,-1.0
1,19:50:05.548410,19:50:25.114835,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:50:26.000744,19:50:27.932248,3,-1.0
2,19:50:26.000744,19:50:28.143021,3,-1.0
2,19:50:26.000744,19:50:28.381209,3,-1.0
2,19:50:26.000744,19:50:28.613750,3,-1.0
2,19:50:26.000744,19:50:28.904527,3,-1.0
2,19:50:26.000744,19:50:29.226986,3,-1.0
