Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:32:34.596721,09:32:46.850320,1,-1.0
1,09:32:34.596721,09:33:09.719521,1,-1.0
1,09:32:34.596721,09:33:10.670223,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:33:36.255008,09:33:48.196896,1,-1.0
2,09:33:36.255008,09:33:57.034990,-1,-1.0
2,09:33:36.255008,09:33:59.478533,1,-1.0
2,09:33:36.255008,09:34:02.357470,-1,-1.0
2,09:33:36.255008,09:34:03.099835,-1,-1.0
2,09:33:36.255008,09:34:03.807492,-1,-1.0
2,09:33:36.255008,09:34:04.142218,-1,-1.0
2,09:33:36.255008,09:34:17.496739,1,-1.0
2,09:33:36.255008,09:34:18.167658,1,-1.0
2,09:33:36.255008,09:34:18.604874,1,-1.0
2,09:33:36.255008,09:34:19.227671,1,-1.0
2,09:33:36.255008,09:34:33.149410,-1,-1.0
2,09:33:36.255008,09:34:34.678210,-1,-1.0
