Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:35:48.864130,14:35:50.487871,1,-1.0
1,14:35:48.864130,14:35:54.207865,1,-1.0
1,14:35:48.864130,14:35:55.746895,1,-1.0
1,14:35:48.864130,14:35:57.869650,1,-1.0
1,14:35:48.864130,14:36:01.302604,1,-1.0
1,14:35:48.864130,14:36:02.161894,-1,-1.0
1,14:35:48.864130,14:36:02.733242,-1,-1.0
1,14:35:48.864130,14:36:03.251491,-1,-1.0
1,14:35:48.864130,14:36:03.888100,-1,-1.0
1,14:35:48.864130,14:36:04.636129,-1,-1.0
1,14:35:48.864130,14:36:05.301466,1,-1.0
1,14:35:48.864130,14:36:10.606285,-1,-1.0
1,14:35:48.864130,14:36:13.144370,1,-1.0
1,14:35:48.864130,14:36:15.790463,1,-1.0
1,14:35:48.864130,14:36:17.713259,1,-1.0
1,14:35:48.864130,14:36:19.826335,1,-1.0
1,14:35:48.864130,14:36:21.999534,-1,-1.0
1,14:35:48.864130,14:36:23.043378,-1,-1.0
1,14:35:48.864130,14:36:23.805613,1,-1.0
1,14:35:48.864130,14:36:25.457179,1,-1.0
1,14:35:48.864130,14:36:30.921468,1,-1.0
1,14:35:48.864130,14:36:32.068700,-1,-1.0
1,14:35:48.864130,14:36:32.583575,-1,-1.0
1,14:35:48.864130,14:36:33.580018,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:36:38.426326,14:36:40.301042,-1,-1.0
2,14:36:38.426326,14:36:41.347034,1,-1.0
2,14:36:38.426326,14:36:44.621167,1,-1.0
2,14:36:38.426326,14:36:48.134453,1,-1.0
2,14:36:38.426326,14:36:49.424140,1,-1.0
2,14:36:38.426326,14:36:52.612252,1,-1.0
2,14:36:38.426326,14:36:53.699316,-1,-1.0
2,14:36:38.426326,14:36:54.298600,-1,-1.0
2,14:36:38.426326,14:36:54.984309,1,-1.0
2,14:36:38.426326,14:36:56.730564,1,-1.0
2,14:36:38.426326,14:36:58.831289,1,-1.0
2,14:36:38.426326,14:37:01.234740,1,-1.0
2,14:36:38.426326,14:37:02.340222,1,-1.0
2,14:36:38.426326,14:37:03.206831,1,-1.0
2,14:36:38.426326,14:37:05.391926,1,-1.0
2,14:36:38.426326,14:37:06.310264,1,-1.0
2,14:36:38.426326,14:37:07.455406,1,-1.0
2,14:36:38.426326,14:37:08.106860,1,-1.0
2,14:36:38.426326,14:37:08.567927,1,-1.0
2,14:36:38.426326,14:37:09.214053,1,-1.0
2,14:36:38.426326,14:37:09.601512,1,-1.0
2,14:36:38.426326,14:37:09.890922,1,-1.0
2,14:36:38.426326,14:37:10.343179,1,-1.0
2,14:36:38.426326,14:37:11.112449,1,-1.0
