Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:18:15.909925,11:18:19.748877,1,-1.0
1,11:18:15.909925,11:18:22.156758,1,-1.0
1,11:18:15.909925,11:18:25.948065,-1,-1.0
1,11:18:15.909925,11:18:26.949834,1,-1.0
1,11:18:15.909925,11:18:27.501515,-1,-1.0
1,11:18:15.909925,11:18:28.070669,-1,-1.0
1,11:18:15.909925,11:18:28.797583,-1,-1.0
1,11:18:15.909925,11:18:29.386089,1,-1.0
1,11:18:15.909925,11:18:33.485451,1,-1.0
1,11:18:15.909925,11:18:35.695332,-1,-1.0
1,11:18:15.909925,11:18:36.104730,-1,-1.0
1,11:18:15.909925,11:18:36.812424,1,-1.0
1,11:18:15.909925,11:18:41.496060,-1,-1.0
1,11:18:15.909925,11:18:42.219991,1,-1.0
1,11:18:15.909925,11:18:44.364904,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:18:51.746813,11:18:58.410493,1,-1.0
2,11:18:51.746813,11:18:58.670783,-1,-1.0
2,11:18:51.746813,11:18:59.203974,-1,-1.0
2,11:18:51.746813,11:18:59.891720,1,-1.0
2,11:18:51.746813,11:19:05.320090,-1,-1.0
2,11:18:51.746813,11:19:06.190365,-1,-1.0
2,11:18:51.746813,11:19:06.708870,1,-1.0
2,11:18:51.746813,11:19:09.936243,1,-1.0
2,11:18:51.746813,11:19:13.970514,-1,-1.0
2,11:18:51.746813,11:19:14.370277,-1,-1.0
2,11:18:51.746813,11:19:14.854028,-1,-1.0
2,11:18:51.746813,11:19:15.398966,-1,-1.0
2,11:18:51.746813,11:19:15.946971,-1,-1.0
2,11:18:51.746813,11:19:16.591515,-1,-1.0
2,11:18:51.746813,11:19:17.388562,1,-1.0
2,11:18:51.746813,11:19:18.163131,-1,-1.0
2,11:18:51.746813,11:19:18.862505,1,-1.0
2,11:18:51.746813,11:19:21.443219,-1,-1.0
2,11:18:51.746813,11:19:22.248280,1,-1.0
2,11:18:51.746813,11:19:23.411750,1,-1.0
2,11:18:51.746813,11:19:30.648276,1,-1.0
