Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:53:39.651233,11:53:50.997019,-1,-1.0
1,11:53:39.651233,11:53:55.792515,-1,-1.0
1,11:53:39.651233,11:53:59.966910,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:54:02.229356,11:54:03.022381,-1,-1.0
2,11:54:02.229356,11:54:04.696408,-1,-1.0
2,11:54:02.229356,11:54:08.725561,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,11:54:24.885967,11:54:25.327192,1,-1.0
3,11:54:24.885967,11:54:26.740385,1,-1.0
3,11:54:24.885967,11:54:34.816691,1,-1.0
3,11:54:24.885967,11:54:37.061393,1,-1.0
3,11:54:24.885967,11:54:37.176179,1,-1.0
3,11:54:24.885967,11:54:38.884760,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,11:54:47.473855,11:54:51.685579,1,-1.0
4,11:54:47.473855,11:54:53.078786,1,-1.0
4,11:54:47.473855,11:55:00.518014,1,-1.0
4,11:54:47.473855,11:55:04.889511,1,-1.0
4,11:54:47.473855,11:55:07.092508,1,-1.0
4,11:54:47.473855,11:55:09.707009,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,11:55:10.113059,11:55:11.713219,-1,-1.0
5,11:55:10.113059,11:55:15.038680,1,-1.0
5,11:55:10.113059,11:55:18.291255,1,-1.0
5,11:55:10.113059,11:55:20.553504,-1,-1.0
5,11:55:10.113059,11:55:25.139195,-1,-1.0
5,11:55:10.113059,11:55:25.687015,-1,-1.0
5,11:55:10.113059,11:55:30.707394,1,-1.0
5,11:55:10.113059,11:55:31.587194,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,11:55:32.791109,11:55:37.246013,1,-1.0
6,11:55:32.791109,11:55:39.258683,-1,-1.0
6,11:55:32.791109,11:55:42.841900,-1,-1.0
6,11:55:32.791109,11:55:46.400398,1,-1.0
6,11:55:32.791109,11:55:47.281434,1,-1.0
6,11:55:32.791109,11:55:48.709470,-1,-1.0
6,11:55:32.791109,11:55:49.584624,-1,-1.0
6,11:55:32.791109,11:55:51.123743,1,-1.0
6,11:55:32.791109,11:55:52.237937,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,11:55:55.451152,11:56:05.582626,-1,-1.0
7,11:55:55.451152,11:56:11.260447,-1,-1.0
7,11:55:55.451152,11:56:12.621067,1,-1.0
7,11:55:55.451152,11:56:17.240454,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,11:56:18.122922,11:56:22.438857,-1,-1.0
8,11:56:18.122922,11:56:23.010110,-1,-1.0
8,11:56:18.122922,11:56:26.454260,1,-1.0
8,11:56:18.122922,11:56:33.448872,1,-1.0
8,11:56:18.122922,11:56:34.517955,1,-1.0
8,11:56:18.122922,11:56:39.513267,1,-1.0
8,11:56:18.122922,11:56:39.784588,1,-1.0
8,11:56:18.122922,11:56:39.982279,1,-1.0
8,11:56:18.122922,11:56:40.113621,1,-1.0
8,11:56:18.122922,11:56:40.223464,1,-1.0
8,11:56:18.122922,11:56:40.360840,1,-1.0
8,11:56:18.122922,11:56:40.475718,1,-1.0
8,11:56:18.122922,11:56:40.736339,1,-1.0
8,11:56:18.122922,11:56:40.819572,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,11:56:40.867844,11:56:40.953248,1,-1.0
9,11:56:40.867844,11:56:41.087545,1,-1.0
9,11:56:40.867844,11:56:45.013412,-1,-1.0
9,11:56:40.867844,11:56:50.810449,1,-1.0
9,11:56:40.867844,11:56:53.833900,1,-1.0
9,11:56:40.867844,11:56:56.947091,1,-1.0
9,11:56:40.867844,11:56:57.854957,-1,-1.0
9,11:56:40.867844,11:56:58.256698,-1,-1.0
9,11:56:40.867844,11:57:02.358300,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,11:57:03.510292,11:57:12.645286,1,-1.0
10,11:57:03.510292,11:57:16.594725,-1,-1.0
10,11:57:03.510292,11:57:22.253480,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,11:57:26.179284,11:57:29.031366,-1,-1.0
11,11:57:26.179284,11:57:30.032043,-1,-1.0
11,11:57:26.179284,11:57:36.376737,-1,-1.0
11,11:57:26.179284,11:57:36.937818,-1,-1.0
11,11:57:26.179284,11:57:40.698134,-1,-1.0
11,11:57:26.179284,11:57:41.135148,-1,-1.0
11,11:57:26.179284,11:57:46.735305,1,-1.0
