Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:02:50.978996,21:03:18.088076,1,-1.0
1,21:02:50.978996,21:03:26.779966,1,-1.0
1,21:02:50.978996,21:03:28.418285,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:03:33.201301,21:03:35.155698,1,-1.0
2,21:03:33.201301,21:03:35.745632,1,-1.0
2,21:03:33.201301,21:03:36.060062,1,-1.0
2,21:03:33.201301,21:03:36.423976,1,-1.0
2,21:03:33.201301,21:03:40.030634,1,-1.0
2,21:03:33.201301,21:03:40.347130,1,-1.0
2,21:03:33.201301,21:03:40.638154,1,-1.0
2,21:03:33.201301,21:03:41.027817,1,-1.0
2,21:03:33.201301,21:03:42.981180,-1,-1.0
2,21:03:33.201301,21:03:44.178183,-1,-1.0
2,21:03:33.201301,21:03:44.955662,-1,-1.0
2,21:03:33.201301,21:03:55.837244,1,-1.0
2,21:03:33.201301,21:04:11.452468,-1,-1.0
2,21:03:33.201301,21:04:11.851335,-1,-1.0
2,21:03:33.201301,21:04:15.181478,-1,-1.0
