Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:58:22.085115,11:58:23.583320,1,-1.0
1,11:58:22.085115,11:58:25.750134,1,-1.0
1,11:58:22.085115,11:58:26.739017,-1,-1.0
1,11:58:22.085115,11:58:27.239807,-1,-1.0
1,11:58:22.085115,11:58:27.849527,-1,-1.0
1,11:58:22.085115,11:58:28.594792,1,-1.0
1,11:58:22.085115,11:58:31.825665,1,-1.0
1,11:58:22.085115,11:58:33.561386,1,-1.0
1,11:58:22.085115,11:58:35.058675,1,-1.0
1,11:58:22.085115,11:58:35.490422,1,-1.0
1,11:58:22.085115,11:58:35.917007,1,-1.0
1,11:58:22.085115,11:58:36.289415,1,-1.0
1,11:58:22.085115,11:58:38.535805,-1,-1.0
1,11:58:22.085115,11:58:39.058301,-1,-1.0
1,11:58:22.085115,11:58:39.434859,-1,-1.0
1,11:58:22.085115,11:58:43.416868,-1,-1.0
1,11:58:22.085115,11:58:43.977645,-1,-1.0
1,11:58:22.085115,11:58:45.741520,-1,-1.0
1,11:58:22.085115,11:58:46.465576,-1,-1.0
1,11:58:22.085115,11:58:47.122558,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:58:56.461782,11:58:59.054152,1,-1.0
2,11:58:56.461782,11:59:00.348613,1,-1.0
2,11:58:56.461782,11:59:00.983827,1,-1.0
2,11:58:56.461782,11:59:01.361631,1,-1.0
2,11:58:56.461782,11:59:02.573380,-1,-1.0
2,11:58:56.461782,11:59:03.234122,-1,-1.0
2,11:58:56.461782,11:59:03.660262,-1,-1.0
2,11:58:56.461782,11:59:04.066499,-1,-1.0
2,11:58:56.461782,11:59:06.092403,1,-1.0
2,11:58:56.461782,11:59:06.506872,1,-1.0
2,11:58:56.461782,11:59:09.224511,1,-1.0
2,11:58:56.461782,11:59:10.397892,-1,-1.0
2,11:58:56.461782,11:59:11.389790,1,-1.0
2,11:58:56.461782,11:59:14.285715,1,-1.0
2,11:58:56.461782,11:59:14.657158,1,-1.0
2,11:58:56.461782,11:59:15.076562,1,-1.0
2,11:58:56.461782,11:59:15.765204,1,-1.0
2,11:58:56.461782,11:59:16.362253,1,-1.0
2,11:58:56.461782,11:59:16.906144,1,-1.0
2,11:58:56.461782,11:59:17.963567,1,-1.0
2,11:58:56.461782,11:59:18.619825,1,-1.0
2,11:58:56.461782,11:59:19.220944,1,-1.0
2,11:58:56.461782,11:59:19.668583,1,-1.0
