Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:29:52.068346,19:30:00.323677,3,-1.0
1,19:29:52.068346,19:30:09.536544,3,-1.0
1,19:29:52.068346,19:30:11.394187,3,-1.0
1,19:29:52.068346,19:30:12.736655,3,-1.0
1,19:29:52.068346,19:30:13.774670,3,-1.0
1,19:29:52.068346,19:30:14.810540,3,-1.0
1,19:29:52.068346,19:30:15.129505,3,-1.0
1,19:29:52.068346,19:30:15.378104,3,-1.0
1,19:29:52.068346,19:30:16.534124,3,-1.0
1,19:29:52.068346,19:30:16.960713,2,-1.0
1,19:29:52.068346,19:30:17.411108,2,-1.0
1,19:29:52.068346,19:30:17.588114,2,-1.0
1,19:29:52.068346,19:30:17.782973,2,-1.0
1,19:29:52.068346,19:30:17.962311,2,-1.0
1,19:29:52.068346,19:30:18.140744,2,-1.0
1,19:29:52.068346,19:30:18.304057,2,-1.0
1,19:29:52.068346,19:30:18.496873,2,-1.0
1,19:29:52.068346,19:30:20.213997,2,-1.0
1,19:29:52.068346,19:30:29.673618,2,-1.0
1,19:29:52.068346,19:30:31.301101,3,-1.0
1,19:29:52.068346,19:30:31.696106,3,-1.0
1,19:29:52.068346,19:30:32.134089,3,-1.0
1,19:29:52.068346,19:30:32.427796,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:30:35.244985,19:30:36.076025,2,-1.0
2,19:30:35.244985,19:30:37.321426,2,-1.0
2,19:30:35.244985,19:30:39.032927,3,-1.0
2,19:30:35.244985,19:30:40.251071,3,-1.0
2,19:30:35.244985,19:30:42.779930,2,-1.0
2,19:30:35.244985,19:30:43.059634,2,-1.0
2,19:30:35.244985,19:30:43.247815,2,-1.0
2,19:30:35.244985,19:30:43.435813,2,-1.0
2,19:30:35.244985,19:30:43.876278,2,-1.0
2,19:30:35.244985,19:30:44.610418,2,-1.0
2,19:30:35.244985,19:30:46.701593,2,-1.0
2,19:30:35.244985,19:30:48.709070,2,-1.0
2,19:30:35.244985,19:30:49.174090,2,-1.0
2,19:30:35.244985,19:30:49.413691,2,-1.0
2,19:30:35.244985,19:30:49.612343,2,-1.0
2,19:30:35.244985,19:30:49.791164,2,-1.0
2,19:30:35.244985,19:30:49.985212,2,-1.0
2,19:30:35.244985,19:30:50.144666,2,-1.0
2,19:30:35.244985,19:30:50.318657,2,-1.0
2,19:30:35.244985,19:30:50.591000,2,-1.0
2,19:30:35.244985,19:30:50.766782,2,-1.0
2,19:30:35.244985,19:30:50.955022,2,-1.0
2,19:30:35.244985,19:30:51.153047,2,-1.0
2,19:30:35.244985,19:30:51.343295,2,-1.0
2,19:30:35.244985,19:30:51.541122,2,-1.0
2,19:30:35.244985,19:30:52.072012,3,-1.0
2,19:30:35.244985,19:30:54.281389,3,-1.0
2,19:30:35.244985,19:30:54.706552,3,-1.0
2,19:30:35.244985,19:30:56.644917,3,-1.0
2,19:30:35.244985,19:31:01.594653,3,-1.0
2,19:30:35.244985,19:31:02.160503,3,-1.0
2,19:30:35.244985,19:31:02.541402,3,-1.0
2,19:30:35.244985,19:31:02.752967,3,-1.0
2,19:30:35.244985,19:31:02.937204,3,-1.0
2,19:30:35.244985,19:31:03.157436,3,-1.0
2,19:30:35.244985,19:31:03.409708,3,-1.0
2,19:30:35.244985,19:31:03.670590,3,-1.0
2,19:30:35.244985,19:31:04.333562,2,-1.0
2,19:30:35.244985,19:31:04.597386,2,-1.0
2,19:30:35.244985,19:31:05.020025,2,-1.0
2,19:30:35.244985,19:31:05.333472,2,-1.0
2,19:30:35.244985,19:31:05.763595,2,-1.0
2,19:30:35.244985,19:31:06.230095,2,-1.0
2,19:30:35.244985,19:31:08.192560,2,-1.0
2,19:30:35.244985,19:31:12.502102,3,-1.0
2,19:30:35.244985,19:31:13.205634,3,-1.0
2,19:30:35.244985,19:31:13.534775,3,-1.0
2,19:30:35.244985,19:31:13.909329,3,-1.0
2,19:30:35.244985,19:31:15.280614,3,-1.0
2,19:30:35.244985,19:31:15.684106,3,-1.0
2,19:30:35.244985,19:31:16.010746,3,-1.0
2,19:30:35.244985,19:31:16.270734,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,19:31:17.942970,19:31:19.189009,2,-1.0
3,19:31:17.942970,19:31:19.406659,2,-1.0
3,19:31:17.942970,19:31:20.179823,2,-1.0
3,19:31:17.942970,19:31:21.300095,2,-1.0
3,19:31:17.942970,19:31:21.488169,2,-1.0
3,19:31:17.942970,19:31:21.667724,2,-1.0
3,19:31:17.942970,19:31:21.826753,2,-1.0
3,19:31:17.942970,19:31:21.987786,2,-1.0
3,19:31:17.942970,19:31:22.350767,2,-1.0
3,19:31:17.942970,19:31:22.582674,2,-1.0
3,19:31:17.942970,19:31:22.753704,2,-1.0
3,19:31:17.942970,19:31:22.954867,2,-1.0
3,19:31:17.942970,19:31:23.152225,2,-1.0
3,19:31:17.942970,19:31:23.333288,2,-1.0
3,19:31:17.942970,19:31:23.513334,2,-1.0
3,19:31:17.942970,19:31:23.690833,2,-1.0
3,19:31:17.942970,19:31:23.875871,2,-1.0
3,19:31:17.942970,19:31:24.046513,2,-1.0
3,19:31:17.942970,19:31:24.413200,2,-1.0
3,19:31:17.942970,19:31:24.604820,2,-1.0
3,19:31:17.942970,19:31:24.777319,2,-1.0
3,19:31:17.942970,19:31:25.014924,2,-1.0
3,19:31:17.942970,19:31:25.265728,2,-1.0
3,19:31:17.942970,19:31:25.500079,2,-1.0
3,19:31:17.942970,19:31:25.702766,2,-1.0
3,19:31:17.942970,19:31:25.894172,2,-1.0
3,19:31:17.942970,19:31:26.068640,2,-1.0
3,19:31:17.942970,19:31:26.251632,2,-1.0
3,19:31:17.942970,19:31:26.449421,2,-1.0
3,19:31:17.942970,19:31:26.625394,2,-1.0
3,19:31:17.942970,19:31:26.805674,2,-1.0
3,19:31:17.942970,19:31:26.975375,2,-1.0
3,19:31:17.942970,19:31:27.163307,2,-1.0
3,19:31:17.942970,19:31:27.343600,2,-1.0
3,19:31:17.942970,19:31:27.515338,2,-1.0
3,19:31:17.942970,19:31:27.699954,2,-1.0
3,19:31:17.942970,19:31:27.890818,2,-1.0
3,19:31:17.942970,19:31:28.069536,2,-1.0
3,19:31:17.942970,19:31:28.268781,2,-1.0
3,19:31:17.942970,19:31:28.469094,2,-1.0
3,19:31:17.942970,19:31:28.680941,2,-1.0
3,19:31:17.942970,19:31:28.892986,2,-1.0
3,19:31:17.942970,19:31:29.087197,2,-1.0
3,19:31:17.942970,19:31:29.279425,2,-1.0
3,19:31:17.942970,19:31:29.455891,2,-1.0
3,19:31:17.942970,19:31:29.636336,2,-1.0
3,19:31:17.942970,19:31:29.813891,2,-1.0
3,19:31:17.942970,19:31:29.980066,2,-1.0
3,19:31:17.942970,19:31:30.357584,3,-1.0
3,19:31:17.942970,19:31:30.635961,3,-1.0
3,19:31:17.942970,19:31:30.876477,3,-1.0
3,19:31:17.942970,19:31:31.139667,3,-1.0
3,19:31:17.942970,19:31:31.413163,3,-1.0
3,19:31:17.942970,19:31:31.659782,3,-1.0
3,19:31:17.942970,19:31:31.869596,3,-1.0
3,19:31:17.942970,19:31:32.082030,3,-1.0
3,19:31:17.942970,19:31:32.299484,3,-1.0
3,19:31:17.942970,19:31:32.524307,3,-1.0
