Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:04:01.274878,20:04:04.123670,2,-1.0
1,20:04:01.274878,20:04:04.403840,2,-1.0
1,20:04:01.274878,20:04:04.650592,2,-1.0
1,20:04:01.274878,20:04:04.855212,2,-1.0
1,20:04:01.274878,20:04:05.065027,2,-1.0
1,20:04:01.274878,20:04:05.264812,2,-1.0
1,20:04:01.274878,20:04:05.487141,2,-1.0
1,20:04:01.274878,20:04:05.717533,2,-1.0
1,20:04:01.274878,20:04:05.949180,2,-1.0
1,20:04:01.274878,20:04:06.146202,2,-1.0
1,20:04:01.274878,20:04:06.386495,2,-1.0
1,20:04:01.274878,20:04:06.610040,2,-1.0
1,20:04:01.274878,20:04:06.812931,2,-1.0
1,20:04:01.274878,20:04:06.999440,2,-1.0
1,20:04:01.274878,20:04:07.176736,2,-1.0
1,20:04:01.274878,20:04:07.374486,2,-1.0
1,20:04:01.274878,20:04:07.562573,2,-1.0
1,20:04:01.274878,20:04:07.743137,2,-1.0
1,20:04:01.274878,20:04:08.081600,2,-1.0
1,20:04:01.274878,20:04:08.262815,2,-1.0
1,20:04:01.274878,20:04:08.427878,2,-1.0
1,20:04:01.274878,20:04:08.571431,2,-1.0
1,20:04:01.274878,20:04:08.774061,3,-1.0
1,20:04:01.274878,20:04:08.981767,3,-1.0
1,20:04:01.274878,20:04:09.231173,3,-1.0
1,20:04:01.274878,20:04:10.693648,3,-1.0
1,20:04:01.274878,20:04:12.281260,3,-1.0
1,20:04:01.274878,20:04:12.548700,3,-1.0
1,20:04:01.274878,20:04:12.788151,3,-1.0
1,20:04:01.274878,20:04:26.601030,2,-1.0
1,20:04:01.274878,20:04:26.772004,2,-1.0
1,20:04:01.274878,20:04:26.941800,2,-1.0
1,20:04:01.274878,20:04:27.123381,2,-1.0
1,20:04:01.274878,20:04:27.934240,3,-1.0
1,20:04:01.274878,20:04:28.200706,3,-1.0
1,20:04:01.274878,20:04:28.489550,3,-1.0
1,20:04:01.274878,20:04:28.698934,3,-1.0
1,20:04:01.274878,20:04:28.909872,3,-1.0
1,20:04:01.274878,20:04:29.200162,3,-1.0
1,20:04:01.274878,20:04:29.466642,3,-1.0
1,20:04:01.274878,20:04:30.152684,3,-1.0
1,20:04:01.274878,20:04:30.412429,3,-1.0
1,20:04:01.274878,20:04:30.611710,3,-1.0
1,20:04:01.274878,20:04:30.791154,3,-1.0
