Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:19:34.420935,16:19:40.342447,1,-1.0
1,16:19:34.420935,16:19:43.535422,-1,-1.0
1,16:19:34.420935,16:19:46.069733,2,-1.0
1,16:19:34.420935,16:19:49.734883,1,-1.0
1,16:19:34.420935,16:19:51.595805,3,-1.0
1,16:19:34.420935,16:19:52.207386,3,-1.0
1,16:19:34.420935,16:19:52.941618,-1,-1.0
1,16:19:34.420935,16:19:56.321530,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:19:58.213828,16:20:01.374799,1,-1.0
2,16:19:58.213828,16:20:03.291696,3,-1.0
2,16:19:58.213828,16:20:05.160330,2,-1.0
2,16:19:58.213828,16:20:07.523011,2,-1.0
2,16:19:58.213828,16:20:09.009037,-1,-1.0
2,16:19:58.213828,16:20:09.570503,-1,-1.0
2,16:19:58.213828,16:20:11.213428,1,-1.0
2,16:19:58.213828,16:20:16.669255,1,-1.0
2,16:19:58.213828,16:20:17.869044,1,-1.0
