Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:12:09.305306,12:12:10.644431,-1,-1.0
1,12:12:09.305306,12:12:11.162660,1,-1.0
1,12:12:09.305306,12:12:11.541900,1,-1.0
1,12:12:09.305306,12:12:11.877612,-1,-1.0
1,12:12:09.305306,12:12:12.312124,-1,-1.0
1,12:12:09.305306,12:12:12.852977,-1,-1.0
1,12:12:09.305306,12:12:13.300254,-1,-1.0
1,12:12:09.305306,12:12:13.976707,1,-1.0
1,12:12:09.305306,12:12:16.757663,1,-1.0
1,12:12:09.305306,12:12:18.218505,1,-1.0
1,12:12:09.305306,12:12:18.547250,1,-1.0
1,12:12:09.305306,12:12:18.900948,1,-1.0
1,12:12:09.305306,12:12:19.484062,1,-1.0
1,12:12:09.305306,12:12:20.859404,1,-1.0
1,12:12:09.305306,12:12:22.192725,-1,-1.0
1,12:12:09.305306,12:12:22.829047,-1,-1.0
1,12:12:09.305306,12:12:23.359307,-1,-1.0
1,12:12:09.305306,12:12:24.067493,-1,-1.0
1,12:12:09.305306,12:12:24.651835,-1,-1.0
1,12:12:09.305306,12:12:25.281405,1,-1.0
1,12:12:09.305306,12:12:26.133648,1,-1.0
1,12:12:09.305306,12:12:26.947703,1,-1.0
1,12:12:09.305306,12:12:29.609435,1,-1.0
1,12:12:09.305306,12:12:31.445582,1,-1.0
1,12:12:09.305306,12:12:31.874126,1,-1.0
1,12:12:09.305306,12:12:32.623197,-1,-1.0
1,12:12:09.305306,12:12:33.302699,-1,-1.0
1,12:12:09.305306,12:12:35.995259,1,-1.0
1,12:12:09.305306,12:12:36.805353,-1,-1.0
1,12:12:09.305306,12:12:37.188823,-1,-1.0
1,12:12:09.305306,12:12:37.658062,-1,-1.0
1,12:12:09.305306,12:12:38.351353,-1,-1.0
1,12:12:09.305306,12:12:38.868460,-1,-1.0
1,12:12:09.305306,12:12:39.429877,1,-1.0
1,12:12:09.305306,12:12:40.327111,1,-1.0
1,12:12:09.305306,12:12:43.393208,1,-1.0
1,12:12:09.305306,12:12:44.132206,1,-1.0
1,12:12:09.305306,12:12:44.474659,1,-1.0
1,12:12:09.305306,12:12:44.778494,1,-1.0
1,12:12:09.305306,12:12:45.016908,1,-1.0
1,12:12:09.305306,12:12:45.278702,1,-1.0
1,12:12:09.305306,12:12:47.170398,1,-1.0
1,12:12:09.305306,12:12:49.097049,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:12:51.701824,12:12:51.985912,1,-1.0
2,12:12:51.701824,12:12:52.875929,-1,-1.0
2,12:12:51.701824,12:12:53.303005,-1,-1.0
2,12:12:51.701824,12:12:53.719483,-1,-1.0
2,12:12:51.701824,12:12:54.355765,1,-1.0
2,12:12:51.701824,12:12:55.340849,1,-1.0
2,12:12:51.701824,12:12:55.731809,1,-1.0
2,12:12:51.701824,12:12:58.522214,1,-1.0
2,12:12:51.701824,12:12:58.978340,1,-1.0
2,12:12:51.701824,12:13:01.014591,-1,-1.0
2,12:12:51.701824,12:13:01.637197,1,-1.0
2,12:12:51.701824,12:13:02.654326,1,-1.0
2,12:12:51.701824,12:13:03.006674,1,-1.0
2,12:12:51.701824,12:13:03.248414,1,-1.0
2,12:12:51.701824,12:13:03.457437,1,-1.0
2,12:12:51.701824,12:13:03.668655,1,-1.0
2,12:12:51.701824,12:13:03.888006,1,-1.0
2,12:12:51.701824,12:13:04.162569,1,-1.0
2,12:12:51.701824,12:13:04.517546,1,-1.0
2,12:12:51.701824,12:13:04.787890,1,-1.0
2,12:12:51.701824,12:13:05.129898,1,-1.0
2,12:12:51.701824,12:13:06.837540,1,-1.0
2,12:12:51.701824,12:13:08.298174,1,-1.0
2,12:12:51.701824,12:13:08.579908,1,-1.0
2,12:12:51.701824,12:13:10.458017,1,-1.0
2,12:12:51.701824,12:13:10.969469,1,-1.0
2,12:12:51.701824,12:13:11.219952,1,-1.0
2,12:12:51.701824,12:13:11.428792,1,-1.0
2,12:12:51.701824,12:13:11.658625,1,-1.0
2,12:12:51.701824,12:13:11.848225,1,-1.0
2,12:12:51.701824,12:13:12.729453,1,-1.0
