Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:25:00.670907,12:25:05.808952,1,-1.0
1,12:25:00.670907,12:25:05.961680,1,-1.0
1,12:25:00.670907,12:25:06.975540,1,-1.0
1,12:25:00.670907,12:25:07.348566,1,-1.0
1,12:25:00.670907,12:25:07.603919,1,-1.0
1,12:25:00.670907,12:25:07.815666,1,-1.0
1,12:25:00.670907,12:25:08.201793,1,-1.0
1,12:25:00.670907,12:25:08.445914,1,-1.0
1,12:25:00.670907,12:25:08.664291,1,-1.0
1,12:25:00.670907,12:25:08.866413,1,-1.0
1,12:25:00.670907,12:25:09.097233,1,-1.0
1,12:25:00.670907,12:25:09.356353,1,-1.0
1,12:25:00.670907,12:25:09.577254,1,-1.0
1,12:25:00.670907,12:25:09.778326,1,-1.0
1,12:25:00.670907,12:25:10.034607,1,-1.0
1,12:25:00.670907,12:25:10.672896,-1,-1.0
1,12:25:00.670907,12:25:11.120058,-1,-1.0
1,12:25:00.670907,12:25:11.668598,-1,-1.0
1,12:25:00.670907,12:25:12.221627,-1,-1.0
1,12:25:00.670907,12:25:13.101252,-1,-1.0
1,12:25:00.670907,12:25:13.661080,-1,-1.0
1,12:25:00.670907,12:25:14.184949,-1,-1.0
1,12:25:00.670907,12:25:14.605942,-1,-1.0
1,12:25:00.670907,12:25:15.347899,-1,-1.0
1,12:25:00.670907,12:25:15.782158,1,-1.0
1,12:25:00.670907,12:25:17.281919,1,-1.0
1,12:25:00.670907,12:25:17.957458,1,-1.0
1,12:25:00.670907,12:25:18.689620,1,-1.0
1,12:25:00.670907,12:25:21.208123,1,-1.0
1,12:25:00.670907,12:25:24.158452,1,-1.0
1,12:25:00.670907,12:25:24.500149,1,-1.0
1,12:25:00.670907,12:25:26.025121,-1,-1.0
1,12:25:00.670907,12:25:26.474463,-1,-1.0
1,12:25:00.670907,12:25:27.118565,-1,-1.0
1,12:25:00.670907,12:25:28.064682,1,-1.0
1,12:25:00.670907,12:25:28.183164,1,-1.0
1,12:25:00.670907,12:25:28.681467,1,-1.0
1,12:25:00.670907,12:25:29.221560,1,-1.0
1,12:25:00.670907,12:25:29.870508,1,-1.0
1,12:25:00.670907,12:25:31.287319,1,-1.0
1,12:25:00.670907,12:25:32.050564,1,-1.0
1,12:25:00.670907,12:25:33.311358,1,-1.0
1,12:25:00.670907,12:25:35.919856,-1,-1.0
1,12:25:00.670907,12:25:36.633342,1,-1.0
1,12:25:00.670907,12:25:37.048899,-1,-1.0
1,12:25:00.670907,12:25:37.591643,-1,-1.0
1,12:25:00.670907,12:25:38.247714,1,-1.0
1,12:25:00.670907,12:25:39.406452,1,-1.0
1,12:25:00.670907,12:25:40.833516,1,-1.0
1,12:25:00.670907,12:25:41.607598,1,-1.0
1,12:25:00.670907,12:25:42.304459,1,-1.0
1,12:25:00.670907,12:25:43.183783,1,-1.0
1,12:25:00.670907,12:25:43.887433,1,-1.0
1,12:25:00.670907,12:25:45.461102,1,-1.0
1,12:25:00.670907,12:25:47.416593,1,-1.0
1,12:25:00.670907,12:25:47.883332,1,-1.0
1,12:25:00.670907,12:25:48.521374,1,-1.0
1,12:25:00.670907,12:25:48.985706,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:25:49.783771,12:25:50.427423,-1,-1.0
2,12:25:49.783771,12:25:51.048700,-1,-1.0
2,12:25:49.783771,12:25:51.995207,1,-1.0
2,12:25:49.783771,12:25:52.385911,1,-1.0
2,12:25:49.783771,12:25:52.615506,1,-1.0
2,12:25:49.783771,12:25:52.850898,1,-1.0
2,12:25:49.783771,12:25:53.162412,1,-1.0
2,12:25:49.783771,12:25:53.433548,1,-1.0
2,12:25:49.783771,12:25:53.662993,1,-1.0
2,12:25:49.783771,12:25:53.872207,1,-1.0
2,12:25:49.783771,12:25:54.089194,1,-1.0
2,12:25:49.783771,12:25:54.579824,1,-1.0
2,12:25:49.783771,12:25:54.946410,1,-1.0
2,12:25:49.783771,12:25:55.234513,1,-1.0
2,12:25:49.783771,12:25:55.491118,1,-1.0
2,12:25:49.783771,12:25:55.749867,1,-1.0
2,12:25:49.783771,12:25:56.131179,1,-1.0
2,12:25:49.783771,12:25:58.266221,1,-1.0
2,12:25:49.783771,12:25:58.548406,1,-1.0
2,12:25:49.783771,12:25:58.834489,1,-1.0
2,12:25:49.783771,12:25:59.052231,1,-1.0
2,12:25:49.783771,12:25:59.271526,1,-1.0
2,12:25:49.783771,12:26:07.519172,1,-1.0
2,12:25:49.783771,12:26:07.998161,1,-1.0
2,12:25:49.783771,12:26:08.240798,1,-1.0
2,12:25:49.783771,12:26:08.452263,1,-1.0
2,12:25:49.783771,12:26:08.815953,1,-1.0
2,12:25:49.783771,12:26:09.335941,1,-1.0
2,12:25:49.783771,12:26:10.522448,1,-1.0
2,12:25:49.783771,12:26:10.925716,1,-1.0
2,12:25:49.783771,12:26:11.155940,1,-1.0
2,12:25:49.783771,12:26:11.365801,1,-1.0
2,12:25:49.783771,12:26:11.568973,1,-1.0
2,12:25:49.783771,12:26:11.766831,1,-1.0
2,12:25:49.783771,12:26:12.061904,1,-1.0
2,12:25:49.783771,12:26:16.059520,-1,-1.0
2,12:25:49.783771,12:26:16.430249,-1,-1.0
2,12:25:49.783771,12:26:16.947832,1,-1.0
2,12:25:49.783771,12:26:17.273117,1,-1.0
2,12:25:49.783771,12:26:17.472152,1,-1.0
2,12:25:49.783771,12:26:17.731011,1,-1.0
2,12:25:49.783771,12:26:17.898544,1,-1.0
2,12:25:49.783771,12:26:18.057094,1,-1.0
2,12:25:49.783771,12:26:18.206506,1,-1.0
2,12:25:49.783771,12:26:18.355815,1,-1.0
2,12:25:49.783771,12:26:18.823663,1,-1.0
2,12:25:49.783771,12:26:19.096653,1,-1.0
2,12:25:49.783771,12:26:19.358255,1,-1.0
2,12:25:49.783771,12:26:19.618348,1,-1.0
2,12:25:49.783771,12:26:19.881594,1,-1.0
2,12:25:49.783771,12:26:20.196106,1,-1.0
2,12:25:49.783771,12:26:20.493727,1,-1.0
2,12:25:49.783771,12:26:20.741823,1,-1.0
2,12:25:49.783771,12:26:21.036478,1,-1.0
2,12:25:49.783771,12:26:21.288809,1,-1.0
2,12:25:49.783771,12:26:21.537650,1,-1.0
2,12:25:49.783771,12:26:21.799416,1,-1.0
2,12:25:49.783771,12:26:22.067524,1,-1.0
2,12:25:49.783771,12:26:22.350628,1,-1.0
2,12:25:49.783771,12:26:22.621775,1,-1.0
2,12:25:49.783771,12:26:22.867751,1,-1.0
2,12:25:49.783771,12:26:23.116428,1,-1.0
2,12:25:49.783771,12:26:23.367366,1,-1.0
