Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:15:00.098581,16:15:03.154901,2,-1.0
1,16:15:00.098581,16:15:07.977212,-1,-1.0
1,16:15:00.098581,16:15:09.228258,2,-1.0
1,16:15:00.098581,16:15:13.817576,1,-1.0
1,16:15:00.098581,16:15:15.679661,3,-1.0
1,16:15:00.098581,16:15:17.179560,2,-1.0
1,16:15:00.098581,16:15:19.279465,-1,-1.0
1,16:15:00.098581,16:15:20.045510,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:15:22.809089,16:15:25.912804,1,-1.0
2,16:15:22.809089,16:15:26.341198,1,-1.0
2,16:15:22.809089,16:15:35.989494,1,-1.0
2,16:15:22.809089,16:15:38.481007,3,-1.0
2,16:15:22.809089,16:15:43.111886,1,-1.0
