Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:41:38.527051,09:41:42.440340,2,-1.0
1,09:41:38.527051,09:41:42.752492,2,-1.0
1,09:41:38.527051,09:41:44.513592,2,-1.0
1,09:41:38.527051,09:41:47.736933,3,-1.0
1,09:41:38.527051,09:41:49.284758,3,-1.0
1,09:41:38.527051,09:41:55.022287,2,-1.0
1,09:41:38.527051,09:41:55.854499,2,-1.0
1,09:41:38.527051,09:41:56.355260,2,-1.0
1,09:41:38.527051,09:41:57.898484,2,-1.0
1,09:41:38.527051,09:41:58.658302,2,-1.0
1,09:41:38.527051,09:41:59.154728,2,-1.0
1,09:41:38.527051,09:41:59.603022,2,-1.0
1,09:41:38.527051,09:42:01.177160,2,-1.0
1,09:41:38.527051,09:42:02.087615,3,-1.0
1,09:41:38.527051,09:42:02.672495,3,-1.0
1,09:41:38.527051,09:42:07.922896,3,-1.0
1,09:41:38.527051,09:42:09.507101,3,-1.0
1,09:41:38.527051,09:42:10.467618,3,-1.0
1,09:41:38.527051,09:42:11.343890,3,-1.0
1,09:41:38.527051,09:42:12.533531,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:42:15.593578,09:42:16.267780,2,-1.0
2,09:42:15.593578,09:42:17.459504,2,-1.0
2,09:42:15.593578,09:42:17.835505,2,-1.0
2,09:42:15.593578,09:42:18.561231,2,-1.0
2,09:42:15.593578,09:42:20.332572,2,-1.0
2,09:42:15.593578,09:42:21.230348,2,-1.0
2,09:42:15.593578,09:42:22.762732,2,-1.0
2,09:42:15.593578,09:42:23.519085,3,-1.0
2,09:42:15.593578,09:42:24.239732,3,-1.0
2,09:42:15.593578,09:42:31.674160,2,-1.0
2,09:42:15.593578,09:42:39.281108,3,-1.0
2,09:42:15.593578,09:42:44.546643,3,-1.0
2,09:42:15.593578,09:42:46.166546,3,-1.0
2,09:42:15.593578,09:42:46.882696,3,-1.0
2,09:42:15.593578,09:42:48.297966,3,-1.0
