Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:17:20.519232,12:17:22.554702,1,-1.0
1,12:17:20.519232,12:17:23.818752,1,-1.0
1,12:17:20.519232,12:17:26.599340,1,-1.0
1,12:17:20.519232,12:17:27.847533,-1,-1.0
1,12:17:20.519232,12:17:28.576440,-1,-1.0
1,12:17:20.519232,12:17:29.969660,1,-1.0
1,12:17:20.519232,12:17:30.302132,1,-1.0
1,12:17:20.519232,12:17:30.578214,1,-1.0
1,12:17:20.519232,12:17:31.606467,-1,-1.0
1,12:17:20.519232,12:17:32.212967,-1,-1.0
1,12:17:20.519232,12:17:32.766701,-1,-1.0
1,12:17:20.519232,12:17:33.560336,-1,-1.0
1,12:17:20.519232,12:17:34.065946,1,-1.0
1,12:17:20.519232,12:17:35.329987,1,-1.0
1,12:17:20.519232,12:17:39.344218,1,-1.0
1,12:17:20.519232,12:17:45.029178,1,-1.0
1,12:17:20.519232,12:17:46.603020,1,-1.0
1,12:17:20.519232,12:17:46.968900,1,-1.0
1,12:17:20.519232,12:17:47.323947,1,-1.0
1,12:17:20.519232,12:17:47.710844,1,-1.0
1,12:17:20.519232,12:17:48.803082,1,-1.0
1,12:17:20.519232,12:17:49.520213,-1,-1.0
1,12:17:20.519232,12:17:50.063789,-1,-1.0
1,12:17:20.519232,12:17:50.555917,-1,-1.0
1,12:17:20.519232,12:17:51.140669,-1,-1.0
1,12:17:20.519232,12:17:51.620937,-1,-1.0
1,12:17:20.519232,12:17:52.269561,1,-1.0
1,12:17:20.519232,12:17:54.054107,1,-1.0
1,12:17:20.519232,12:18:00.944704,-1,-1.0
1,12:17:20.519232,12:18:01.789894,-1,-1.0
1,12:17:20.519232,12:18:02.646446,-1,-1.0
1,12:17:20.519232,12:18:03.253702,1,-1.0
1,12:17:20.519232,12:18:04.005856,1,-1.0
1,12:17:20.519232,12:18:04.645427,1,-1.0
1,12:17:20.519232,12:18:04.997510,1,-1.0
1,12:17:20.519232,12:18:05.259960,1,-1.0
1,12:17:20.519232,12:18:05.575566,1,-1.0
1,12:17:20.519232,12:18:05.984766,1,-1.0
1,12:17:20.519232,12:18:08.999031,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:18:14.543993,12:18:15.635741,-1,-1.0
2,12:18:14.543993,12:18:16.158573,-1,-1.0
2,12:18:14.543993,12:18:16.768089,-1,-1.0
2,12:18:14.543993,12:18:17.366595,1,-1.0
2,12:18:14.543993,12:18:20.002891,1,-1.0
2,12:18:14.543993,12:18:20.525515,1,-1.0
2,12:18:14.543993,12:18:20.870053,1,-1.0
2,12:18:14.543993,12:18:21.153486,1,-1.0
2,12:18:14.543993,12:18:21.490475,1,-1.0
2,12:18:14.543993,12:18:21.823436,1,-1.0
2,12:18:14.543993,12:18:22.544701,1,-1.0
2,12:18:14.543993,12:18:23.420936,1,-1.0
2,12:18:14.543993,12:18:24.129132,1,-1.0
2,12:18:14.543993,12:18:24.660200,1,-1.0
2,12:18:14.543993,12:18:25.465917,1,-1.0
2,12:18:14.543993,12:18:26.474492,1,-1.0
2,12:18:14.543993,12:18:26.644898,-1,-1.0
2,12:18:14.543993,12:18:27.903661,1,-1.0
2,12:18:14.543993,12:18:29.260584,1,-1.0
2,12:18:14.543993,12:18:31.439765,1,-1.0
2,12:18:14.543993,12:18:32.502306,-1,-1.0
2,12:18:14.543993,12:18:33.063791,-1,-1.0
2,12:18:14.543993,12:18:33.656300,-1,-1.0
2,12:18:14.543993,12:18:34.124063,-1,-1.0
2,12:18:14.543993,12:18:34.830228,1,-1.0
2,12:18:14.543993,12:18:35.705742,1,-1.0
2,12:18:14.543993,12:18:36.426567,1,-1.0
2,12:18:14.543993,12:18:36.927418,1,-1.0
2,12:18:14.543993,12:18:37.579566,1,-1.0
2,12:18:14.543993,12:18:39.167971,1,-1.0
2,12:18:14.543993,12:18:41.789545,1,-1.0
2,12:18:14.543993,12:18:43.431263,-1,-1.0
2,12:18:14.543993,12:18:44.739123,-1,-1.0
2,12:18:14.543993,12:18:45.372536,1,-1.0
2,12:18:14.543993,12:18:46.391379,1,-1.0
2,12:18:14.543993,12:18:47.193289,1,-1.0
2,12:18:14.543993,12:18:49.502623,1,-1.0
2,12:18:14.543993,12:18:50.155551,1,-1.0
2,12:18:14.543993,12:18:51.610755,1,-1.0
2,12:18:14.543993,12:18:55.259126,1,-1.0
2,12:18:14.543993,12:18:56.223374,1,-1.0
2,12:18:14.543993,12:18:58.344042,1,-1.0
2,12:18:14.543993,12:19:00.081648,1,-1.0
2,12:18:14.543993,12:19:00.529991,1,-1.0
2,12:18:14.543993,12:19:00.841884,1,-1.0
2,12:18:14.543993,12:19:01.880666,1,-1.0
2,12:18:14.543993,12:19:02.873530,1,-1.0
