Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:16:16.336552,21:16:24.642419,-1,-1.0
1,21:16:16.336552,21:16:35.844497,-1,-1.0
1,21:16:16.336552,21:16:43.001340,1,-1.0
1,21:16:16.336552,21:16:55.618657,-1,-1.0
1,21:16:16.336552,21:16:56.876145,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:16:58.601376,21:17:00.001648,-1,-1.0
2,21:16:58.601376,21:17:00.715650,-1,-1.0
2,21:16:58.601376,21:17:08.706156,-1,-1.0
2,21:16:58.601376,21:17:09.286878,-1,-1.0
2,21:16:58.601376,21:17:22.283133,-1,-1.0
2,21:16:58.601376,21:17:24.220144,-1,-1.0
2,21:16:58.601376,21:17:24.793861,-1,-1.0
2,21:16:58.601376,21:17:32.640894,1,-1.0
