Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:05:30.955431,16:05:31.469732,3,-1.0
1,16:05:30.955431,16:05:33.616420,2,-1.0
1,16:05:30.955431,16:05:34.017589,2,-1.0
1,16:05:30.955431,16:05:34.313224,2,-1.0
1,16:05:30.955431,16:05:34.525595,2,-1.0
1,16:05:30.955431,16:05:34.728935,2,-1.0
1,16:05:30.955431,16:05:34.918217,2,-1.0
1,16:05:30.955431,16:05:35.127639,2,-1.0
1,16:05:30.955431,16:05:35.313766,2,-1.0
1,16:05:30.955431,16:05:35.481171,2,-1.0
1,16:05:30.955431,16:05:35.639370,2,-1.0
1,16:05:30.955431,16:05:35.795371,2,-1.0
1,16:05:30.955431,16:05:35.945051,2,-1.0
1,16:05:30.955431,16:05:36.101591,2,-1.0
1,16:05:30.955431,16:05:36.275738,2,-1.0
1,16:05:30.955431,16:05:36.426466,2,-1.0
1,16:05:30.955431,16:05:36.575795,2,-1.0
1,16:05:30.955431,16:05:36.729443,2,-1.0
1,16:05:30.955431,16:05:36.886917,2,-1.0
1,16:05:30.955431,16:05:37.042024,2,-1.0
1,16:05:30.955431,16:05:37.224474,2,-1.0
1,16:05:30.955431,16:05:37.373969,2,-1.0
1,16:05:30.955431,16:05:37.542024,2,-1.0
1,16:05:30.955431,16:05:37.712672,2,-1.0
1,16:05:30.955431,16:05:37.872036,2,-1.0
1,16:05:30.955431,16:05:38.026608,2,-1.0
1,16:05:30.955431,16:05:38.198002,2,-1.0
1,16:05:30.955431,16:05:38.359909,2,-1.0
1,16:05:30.955431,16:05:38.516019,2,-1.0
1,16:05:30.955431,16:05:38.680052,2,-1.0
1,16:05:30.955431,16:05:38.844300,2,-1.0
1,16:05:30.955431,16:05:38.981084,2,-1.0
1,16:05:30.955431,16:05:39.140961,2,-1.0
1,16:05:30.955431,16:05:39.284725,2,-1.0
1,16:05:30.955431,16:05:39.441203,2,-1.0
1,16:05:30.955431,16:05:39.566603,2,-1.0
1,16:05:30.955431,16:05:39.712027,2,-1.0
1,16:05:30.955431,16:05:39.803734,3,-1.0
1,16:05:30.955431,16:05:40.072629,3,-1.0
1,16:05:30.955431,16:05:40.223413,3,-1.0
1,16:05:30.955431,16:05:40.698718,3,-1.0
1,16:05:30.955431,16:05:40.871408,3,-1.0
1,16:05:30.955431,16:05:40.988602,3,-1.0
1,16:05:30.955431,16:05:41.211764,3,-1.0
1,16:05:30.955431,16:05:41.340760,3,-1.0
1,16:05:30.955431,16:05:41.445058,3,-1.0
1,16:05:30.955431,16:05:41.632531,3,-1.0
1,16:05:30.955431,16:05:41.765303,3,-1.0
1,16:05:30.955431,16:05:41.891731,3,-1.0
1,16:05:30.955431,16:05:42.018650,3,-1.0
1,16:05:30.955431,16:05:42.154567,3,-1.0
1,16:05:30.955431,16:05:42.297971,3,-1.0
1,16:05:30.955431,16:05:42.453697,3,-1.0
1,16:05:30.955431,16:05:42.591173,3,-1.0
1,16:05:30.955431,16:05:42.738309,3,-1.0
1,16:05:30.955431,16:05:42.876709,3,-1.0
1,16:05:30.955431,16:05:43.023316,3,-1.0
1,16:05:30.955431,16:05:43.170557,3,-1.0
1,16:05:30.955431,16:05:43.297635,3,-1.0
1,16:05:30.955431,16:05:43.422537,3,-1.0
1,16:05:30.955431,16:05:43.560377,3,-1.0
1,16:05:30.955431,16:05:43.728708,3,-1.0
1,16:05:30.955431,16:05:43.887623,3,-1.0
1,16:05:30.955431,16:05:44.074818,3,-1.0
1,16:05:30.955431,16:05:44.235788,3,-1.0
1,16:05:30.955431,16:05:44.382399,3,-1.0
1,16:05:30.955431,16:05:44.563077,3,-1.0
1,16:05:30.955431,16:05:44.731520,3,-1.0
1,16:05:30.955431,16:05:44.892666,3,-1.0
1,16:05:30.955431,16:05:45.073449,3,-1.0
1,16:05:30.955431,16:05:45.237678,3,-1.0
1,16:05:30.955431,16:05:45.406003,3,-1.0
1,16:05:30.955431,16:05:45.564708,3,-1.0
1,16:05:30.955431,16:05:45.720470,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:05:45.912096,16:05:47.340713,2,-1.0
2,16:05:45.912096,16:05:47.465863,2,-1.0
2,16:05:45.912096,16:05:47.614439,2,-1.0
2,16:05:45.912096,16:05:47.755972,2,-1.0
2,16:05:45.912096,16:05:47.890759,2,-1.0
2,16:05:45.912096,16:05:48.039215,2,-1.0
2,16:05:45.912096,16:05:48.211728,2,-1.0
2,16:05:45.912096,16:05:48.366861,2,-1.0
2,16:05:45.912096,16:05:48.526193,2,-1.0
2,16:05:45.912096,16:05:48.709486,2,-1.0
2,16:05:45.912096,16:05:48.881906,2,-1.0
2,16:05:45.912096,16:05:49.102999,2,-1.0
2,16:05:45.912096,16:05:49.291397,2,-1.0
2,16:05:45.912096,16:05:49.461867,2,-1.0
2,16:05:45.912096,16:05:49.621816,2,-1.0
2,16:05:45.912096,16:05:49.783970,2,-1.0
2,16:05:45.912096,16:05:49.954904,2,-1.0
2,16:05:45.912096,16:05:50.120836,2,-1.0
2,16:05:45.912096,16:05:50.303489,2,-1.0
2,16:05:45.912096,16:05:50.495733,2,-1.0
2,16:05:45.912096,16:05:50.671713,2,-1.0
2,16:05:45.912096,16:05:50.857520,2,-1.0
2,16:05:45.912096,16:05:51.038374,2,-1.0
2,16:05:45.912096,16:05:51.206991,2,-1.0
2,16:05:45.912096,16:05:51.379893,2,-1.0
2,16:05:45.912096,16:05:51.549489,2,-1.0
2,16:05:45.912096,16:05:51.695281,2,-1.0
2,16:05:45.912096,16:05:51.848662,2,-1.0
2,16:05:45.912096,16:05:52.009674,2,-1.0
2,16:05:45.912096,16:05:52.168079,2,-1.0
2,16:05:45.912096,16:05:52.313406,2,-1.0
2,16:05:45.912096,16:05:52.475557,2,-1.0
2,16:05:45.912096,16:05:52.636185,2,-1.0
2,16:05:45.912096,16:05:52.805451,2,-1.0
2,16:05:45.912096,16:05:52.961156,2,-1.0
2,16:05:45.912096,16:05:53.118635,2,-1.0
2,16:05:45.912096,16:05:53.273230,2,-1.0
2,16:05:45.912096,16:05:53.438383,2,-1.0
2,16:05:45.912096,16:05:53.605105,2,-1.0
2,16:05:45.912096,16:05:53.733295,3,-1.0
2,16:05:45.912096,16:05:54.055033,3,-1.0
2,16:05:45.912096,16:05:54.229977,3,-1.0
2,16:05:45.912096,16:05:54.420697,3,-1.0
2,16:05:45.912096,16:05:54.698864,3,-1.0
2,16:05:45.912096,16:05:55.014224,3,-1.0
2,16:05:45.912096,16:05:55.213080,3,-1.0
2,16:05:45.912096,16:05:55.357303,3,-1.0
2,16:05:45.912096,16:05:55.506389,3,-1.0
2,16:05:45.912096,16:05:55.644335,3,-1.0
2,16:05:45.912096,16:05:55.791597,3,-1.0
2,16:05:45.912096,16:05:55.923184,3,-1.0
2,16:05:45.912096,16:05:56.080921,3,-1.0
2,16:05:45.912096,16:05:56.354640,3,-1.0
2,16:05:45.912096,16:05:56.505660,3,-1.0
2,16:05:45.912096,16:05:56.661372,3,-1.0
2,16:05:45.912096,16:05:56.821235,3,-1.0
2,16:05:45.912096,16:05:56.960463,3,-1.0
2,16:05:45.912096,16:05:57.118214,3,-1.0
2,16:05:45.912096,16:05:57.266097,3,-1.0
2,16:05:45.912096,16:05:57.413222,3,-1.0
2,16:05:45.912096,16:05:57.554985,3,-1.0
2,16:05:45.912096,16:05:57.723419,3,-1.0
2,16:05:45.912096,16:05:57.889773,3,-1.0
2,16:05:45.912096,16:05:58.034318,3,-1.0
2,16:05:45.912096,16:05:58.221299,3,-1.0
