Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:08:23.793009,20:08:26.388751,2,-1.0
1,20:08:23.793009,20:08:26.569615,2,-1.0
1,20:08:23.793009,20:08:26.746424,2,-1.0
1,20:08:23.793009,20:08:26.935746,2,-1.0
1,20:08:23.793009,20:08:27.124390,2,-1.0
1,20:08:23.793009,20:08:27.295211,2,-1.0
1,20:08:23.793009,20:08:27.505651,2,-1.0
1,20:08:23.793009,20:08:27.717617,2,-1.0
1,20:08:23.793009,20:08:27.890964,2,-1.0
1,20:08:23.793009,20:08:28.452553,2,-1.0
1,20:08:23.793009,20:08:28.650594,2,-1.0
1,20:08:23.793009,20:08:33.165743,3,-1.0
1,20:08:23.793009,20:08:33.620351,3,-1.0
1,20:08:23.793009,20:08:33.828350,3,-1.0
1,20:08:23.793009,20:08:34.045314,3,-1.0
1,20:08:23.793009,20:08:34.272987,3,-1.0
1,20:08:23.793009,20:08:38.125258,3,-1.0
1,20:08:23.793009,20:08:38.358592,3,-1.0
1,20:08:23.793009,20:08:38.579696,3,-1.0
1,20:08:23.793009,20:08:38.779337,3,-1.0
1,20:08:23.793009,20:08:39.025248,3,-1.0
1,20:08:23.793009,20:08:39.294984,3,-1.0
1,20:08:23.793009,20:08:41.518063,2,-1.0
1,20:08:23.793009,20:08:41.704966,2,-1.0
1,20:08:23.793009,20:08:42.500907,2,-1.0
1,20:08:23.793009,20:08:43.120565,2,-1.0
1,20:08:23.793009,20:08:43.334023,2,-1.0
1,20:08:23.793009,20:08:43.661567,2,-1.0
1,20:08:23.793009,20:08:43.874427,2,-1.0
1,20:08:23.793009,20:08:44.041300,2,-1.0
1,20:08:23.793009,20:08:44.190162,2,-1.0
1,20:08:23.793009,20:08:44.367738,2,-1.0
1,20:08:23.793009,20:08:44.547859,2,-1.0
1,20:08:23.793009,20:08:44.702169,2,-1.0
1,20:08:23.793009,20:08:44.862524,2,-1.0
1,20:08:23.793009,20:08:45.160928,2,-1.0
1,20:08:23.793009,20:08:49.624920,3,-1.0
1,20:08:23.793009,20:08:50.471675,3,-1.0
1,20:08:23.793009,20:08:51.211197,3,-1.0
1,20:08:23.793009,20:08:54.711927,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,20:08:58.436763,20:09:00.548493,2,-1.0
2,20:08:58.436763,20:09:00.770968,2,-1.0
2,20:08:58.436763,20:09:01.147035,2,-1.0
2,20:08:58.436763,20:09:02.272476,2,-1.0
2,20:08:58.436763,20:09:02.506009,2,-1.0
2,20:08:58.436763,20:09:02.686602,2,-1.0
2,20:08:58.436763,20:09:02.878573,2,-1.0
2,20:08:58.436763,20:09:03.059584,2,-1.0
2,20:08:58.436763,20:09:03.250579,2,-1.0
2,20:08:58.436763,20:09:03.470858,2,-1.0
2,20:08:58.436763,20:09:03.664797,2,-1.0
2,20:08:58.436763,20:09:03.856542,2,-1.0
2,20:08:58.436763,20:09:04.050554,2,-1.0
2,20:08:58.436763,20:09:04.239978,2,-1.0
2,20:08:58.436763,20:09:04.418180,2,-1.0
2,20:08:58.436763,20:09:04.606023,2,-1.0
2,20:08:58.436763,20:09:04.770765,2,-1.0
2,20:08:58.436763,20:09:04.933264,2,-1.0
2,20:08:58.436763,20:09:05.087530,2,-1.0
2,20:08:58.436763,20:09:05.236094,2,-1.0
2,20:08:58.436763,20:09:05.411915,2,-1.0
2,20:08:58.436763,20:09:05.561043,2,-1.0
2,20:08:58.436763,20:09:07.586396,3,-1.0
2,20:08:58.436763,20:09:07.838771,3,-1.0
2,20:08:58.436763,20:09:08.039415,3,-1.0
2,20:08:58.436763,20:09:08.278760,3,-1.0
2,20:08:58.436763,20:09:08.465666,3,-1.0
2,20:08:58.436763,20:09:08.784710,3,-1.0
2,20:08:58.436763,20:09:09.004746,3,-1.0
2,20:08:58.436763,20:09:09.235511,3,-1.0
2,20:08:58.436763,20:09:09.486602,3,-1.0
2,20:08:58.436763,20:09:09.707370,3,-1.0
2,20:08:58.436763,20:09:09.981255,3,-1.0
2,20:08:58.436763,20:09:10.221314,3,-1.0
2,20:08:58.436763,20:09:10.478718,3,-1.0
2,20:08:58.436763,20:09:10.739871,3,-1.0
2,20:08:58.436763,20:09:11.021502,3,-1.0
2,20:08:58.436763,20:09:11.253138,3,-1.0
2,20:08:58.436763,20:09:11.475881,3,-1.0
2,20:08:58.436763,20:09:11.699245,3,-1.0
2,20:08:58.436763,20:09:11.921976,3,-1.0
2,20:08:58.436763,20:09:12.170079,3,-1.0
2,20:08:58.436763,20:09:12.379646,3,-1.0
2,20:08:58.436763,20:09:12.603752,3,-1.0
2,20:08:58.436763,20:09:13.164894,3,-1.0
2,20:08:58.436763,20:09:13.458609,3,-1.0
2,20:08:58.436763,20:09:13.710866,3,-1.0
2,20:08:58.436763,20:09:13.950550,3,-1.0
