Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:04:33.751560,16:04:52.822323,2,-1.0
1,16:04:33.751560,16:04:53.008455,2,-1.0
1,16:04:33.751560,16:04:53.214688,2,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:04:56.583398,16:04:57.262921,2,-1.0
2,16:04:56.583398,16:04:57.607685,2,-1.0
2,16:04:56.583398,16:04:57.886351,2,-1.0
2,16:04:56.583398,16:05:00.447014,3,-1.0
2,16:04:56.583398,16:05:00.950541,3,-1.0
2,16:04:56.583398,16:05:01.302370,3,-1.0
2,16:04:56.583398,16:05:01.461463,3,-1.0
2,16:04:56.583398,16:05:01.640698,3,-1.0
2,16:04:56.583398,16:05:01.767934,3,-1.0
2,16:04:56.583398,16:05:01.904729,3,-1.0
2,16:04:56.583398,16:05:02.089985,3,-1.0
2,16:04:56.583398,16:05:02.282288,3,-1.0
2,16:04:56.583398,16:05:02.488312,3,-1.0
2,16:04:56.583398,16:05:02.684937,3,-1.0
2,16:04:56.583398,16:05:02.865141,3,-1.0
2,16:04:56.583398,16:05:03.073971,3,-1.0
2,16:04:56.583398,16:05:03.270066,3,-1.0
2,16:04:56.583398,16:05:03.427986,3,-1.0
2,16:04:56.583398,16:05:03.615443,3,-1.0
2,16:04:56.583398,16:05:03.804571,3,-1.0
2,16:04:56.583398,16:05:03.959224,3,-1.0
2,16:04:56.583398,16:05:04.108106,3,-1.0
2,16:04:56.583398,16:05:04.299241,3,-1.0
2,16:04:56.583398,16:05:04.469649,3,-1.0
2,16:04:56.583398,16:05:04.871328,3,-1.0
2,16:04:56.583398,16:05:05.070295,3,-1.0
2,16:04:56.583398,16:05:05.260517,3,-1.0
2,16:04:56.583398,16:05:05.461968,3,-1.0
2,16:04:56.583398,16:05:05.632026,3,-1.0
2,16:04:56.583398,16:05:05.921623,3,-1.0
2,16:04:56.583398,16:05:06.120630,3,-1.0
2,16:04:56.583398,16:05:06.304036,3,-1.0
2,16:04:56.583398,16:05:06.481110,3,-1.0
2,16:04:56.583398,16:05:06.649319,3,-1.0
2,16:04:56.583398,16:05:06.795605,3,-1.0
2,16:04:56.583398,16:05:06.971424,3,-1.0
2,16:04:56.583398,16:05:07.121316,3,-1.0
