Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:09:18.327258,11:09:22.592036,1,-1.0
1,11:09:18.327258,11:09:26.034430,-1,-1.0
1,11:09:18.327258,11:09:26.565513,-1,-1.0
1,11:09:18.327258,11:09:27.189389,1,-1.0
1,11:09:18.327258,11:09:31.518070,1,-1.0
1,11:09:18.327258,11:09:34.073590,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:09:36.997458,11:09:38.516740,-1,-1.0
2,11:09:36.997458,11:09:39.063786,-1,-1.0
2,11:09:36.997458,11:09:39.777459,1,-1.0
2,11:09:36.997458,11:09:40.648422,1,-1.0
2,11:09:36.997458,11:09:46.435463,-1,-1.0
2,11:09:36.997458,11:09:47.026858,-1,-1.0
2,11:09:36.997458,11:09:48.574774,1,-1.0
2,11:09:36.997458,11:09:48.894983,1,-1.0
2,11:09:36.997458,11:09:54.286540,1,-1.0
2,11:09:36.997458,11:09:57.084957,1,-1.0
2,11:09:36.997458,11:10:00.790785,1,-1.0
2,11:09:36.997458,11:10:01.097581,1,-1.0
2,11:09:36.997458,11:10:03.847357,1,-1.0
2,11:09:36.997458,11:10:04.322389,-1,-1.0
2,11:09:36.997458,11:10:04.884168,-1,-1.0
2,11:09:36.997458,11:10:05.330018,-1,-1.0
2,11:09:36.997458,11:10:05.877055,-1,-1.0
2,11:09:36.997458,11:10:06.392104,-1,-1.0
2,11:09:36.997458,11:10:06.925022,-1,-1.0
2,11:09:36.997458,11:10:08.102327,-1,-1.0
2,11:09:36.997458,11:10:08.709372,-1,-1.0
2,11:09:36.997458,11:10:09.159571,1,-1.0
2,11:09:36.997458,11:10:09.486673,-1,-1.0
2,11:09:36.997458,11:10:09.946485,-1,-1.0
2,11:09:36.997458,11:10:10.412280,-1,-1.0
2,11:09:36.997458,11:10:10.954698,1,-1.0
2,11:09:36.997458,11:10:14.135701,1,-1.0
2,11:09:36.997458,11:10:16.260464,1,-1.0
2,11:09:36.997458,11:10:16.989295,-1,-1.0
2,11:09:36.997458,11:10:17.433113,-1,-1.0
2,11:09:36.997458,11:10:17.961092,-1,-1.0
2,11:09:36.997458,11:10:18.536187,-1,-1.0
2,11:09:36.997458,11:10:18.949806,-1,-1.0
