Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:59:54.107946,15:59:56.205033,2,-1.0
1,15:59:54.107946,15:59:58.128834,2,-1.0
1,15:59:54.107946,15:59:58.481624,2,-1.0
1,15:59:54.107946,15:59:58.662718,2,-1.0
1,15:59:54.107946,15:59:59.804970,2,-1.0
1,15:59:54.107946,16:00:00.051722,2,-1.0
1,15:59:54.107946,16:00:04.565337,3,-1.0
1,15:59:54.107946,16:00:06.871236,3,-1.0
1,15:59:54.107946,16:00:11.372130,1,-1.0
1,15:59:54.107946,16:00:14.068962,-1,-1.0
1,15:59:54.107946,16:00:14.707542,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:00:16.783286,16:00:16.845928,3,-1.0
2,16:00:16.783286,16:00:17.582110,3,-1.0
2,16:00:16.783286,16:00:18.039348,3,-1.0
2,16:00:16.783286,16:00:20.542133,3,-1.0
2,16:00:16.783286,16:00:21.489911,-1,-1.0
2,16:00:16.783286,16:00:21.876568,1,-1.0
2,16:00:16.783286,16:00:24.622387,3,-1.0
2,16:00:16.783286,16:00:26.013702,3,-1.0
2,16:00:16.783286,16:00:29.772895,3,-1.0
2,16:00:16.783286,16:00:30.430659,1,-1.0
2,16:00:16.783286,16:00:37.386686,1,-1.0
