Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:53:50.095795,10:54:14.253943,-1,-1.0
1,10:53:50.095795,10:54:27.621994,-1,-1.0
1,10:53:50.095795,10:54:41.271112,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:54:51.126084,10:54:59.505572,-1,-1.0
2,10:54:51.126084,10:55:02.881875,1,-1.0
2,10:54:51.126084,10:55:04.136910,1,-1.0
2,10:54:51.126084,10:55:08.600079,1,-1.0
2,10:54:51.126084,10:55:15.749380,1,-1.0
2,10:54:51.126084,10:55:16.540034,1,-1.0
2,10:54:51.126084,10:55:17.188885,-1,-1.0
2,10:54:51.126084,10:55:26.339109,-1,-1.0
2,10:54:51.126084,10:55:27.527656,1,-1.0
2,10:54:51.126084,10:55:37.592242,1,-1.0
2,10:54:51.126084,10:55:38.115778,-1,-1.0
2,10:54:51.126084,10:55:50.381271,1,-1.0
