Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:21:23.491443,11:21:27.587179,1,-1.0
1,11:21:23.491443,11:21:29.192895,1,-1.0
1,11:21:23.491443,11:21:29.969083,1,-1.0
1,11:21:23.491443,11:21:31.241178,-1,-1.0
1,11:21:23.491443,11:21:31.710186,-1,-1.0
1,11:21:23.491443,11:21:32.377257,-1,-1.0
1,11:21:23.491443,11:21:32.892076,-1,-1.0
1,11:21:23.491443,11:21:33.370175,1,-1.0
1,11:21:23.491443,11:21:34.140313,1,-1.0
1,11:21:23.491443,11:21:36.713199,1,-1.0
1,11:21:23.491443,11:21:40.292786,1,-1.0
1,11:21:23.491443,11:21:41.524220,1,-1.0
1,11:21:23.491443,11:21:41.846222,1,-1.0
1,11:21:23.491443,11:21:42.086945,1,-1.0
1,11:21:23.491443,11:21:42.265824,1,-1.0
1,11:21:23.491443,11:21:42.484829,1,-1.0
1,11:21:23.491443,11:21:42.696558,1,-1.0
1,11:21:23.491443,11:21:42.885392,1,-1.0
1,11:21:23.491443,11:21:43.066757,1,-1.0
1,11:21:23.491443,11:21:43.267322,1,-1.0
1,11:21:23.491443,11:21:43.475570,1,-1.0
1,11:21:23.491443,11:21:43.735992,1,-1.0
1,11:21:23.491443,11:21:43.967827,1,-1.0
1,11:21:23.491443,11:21:44.374609,1,-1.0
1,11:21:23.491443,11:21:44.610885,1,-1.0
1,11:21:23.491443,11:21:45.442973,-1,-1.0
1,11:21:23.491443,11:21:46.054536,-1,-1.0
1,11:21:23.491443,11:21:46.471157,-1,-1.0
1,11:21:23.491443,11:21:47.128553,-1,-1.0
1,11:21:23.491443,11:21:47.476815,-1,-1.0
1,11:21:23.491443,11:21:47.887281,-1,-1.0
1,11:21:23.491443,11:21:48.283754,-1,-1.0
1,11:21:23.491443,11:21:49.439806,-1,-1.0
1,11:21:23.491443,11:21:50.139931,1,-1.0
1,11:21:23.491443,11:21:50.534853,1,-1.0
1,11:21:23.491443,11:21:54.772730,-1,-1.0
1,11:21:23.491443,11:21:55.737589,1,-1.0
1,11:21:23.491443,11:21:58.020500,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:22:05.145928,11:22:06.926849,-1,-1.0
2,11:22:05.145928,11:22:07.593583,-1,-1.0
2,11:22:05.145928,11:22:08.043449,-1,-1.0
2,11:22:05.145928,11:22:08.878688,1,-1.0
2,11:22:05.145928,11:22:12.191764,1,-1.0
2,11:22:05.145928,11:22:14.675573,1,-1.0
2,11:22:05.145928,11:22:16.186209,-1,-1.0
2,11:22:05.145928,11:22:17.391385,1,-1.0
2,11:22:05.145928,11:22:17.952625,1,-1.0
2,11:22:05.145928,11:22:20.260286,1,-1.0
2,11:22:05.145928,11:22:25.889063,1,-1.0
