Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,19:56:53.234832,19:56:58.725748,2,-1.0
1,19:56:53.234832,19:57:02.741927,3,-1.0
1,19:56:53.234832,19:57:04.229713,3,-1.0
1,19:56:53.234832,19:57:05.147806,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,19:57:12.634953,19:57:14.736380,2,-1.0
2,19:57:12.634953,19:57:17.971193,2,-1.0
2,19:57:12.634953,19:57:24.836943,3,-1.0
2,19:57:12.634953,19:57:25.401918,3,-1.0
2,19:57:12.634953,19:57:32.053538,3,-1.0
2,19:57:12.634953,19:57:34.821171,3,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,19:57:37.047504,19:57:38.344321,2,-1.0
3,19:57:37.047504,19:57:41.158964,2,-1.0
3,19:57:37.047504,19:57:46.620461,2,-1.0
3,19:57:37.047504,19:57:50.640690,2,-1.0
3,19:57:37.047504,19:57:52.452879,2,-1.0
3,19:57:37.047504,19:57:54.058720,3,-1.0
3,19:57:37.047504,19:57:59.215533,3,-1.0
3,19:57:37.047504,19:58:01.141475,2,-1.0
3,19:57:37.047504,19:58:06.700091,2,-1.0
3,19:57:37.047504,19:58:10.256379,3,-1.0
3,19:57:37.047504,19:58:10.663936,3,-1.0
